1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          18.30          ---          ---     21.30100        73.93 
Gets          18.30      1481.73         0.81     87.94500      5987.56 
Waits          0.00          ---          ---      0.00000          --- 
Totals        36.61      1481.73         0.81     54.62300      6061.49 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.400         0.08
SET       2.500         0.23
SET       2.600         0.31
SET       2.700         0.39
SET       2.800         0.62
SET       2.900         0.78
SET       3.000         1.01
SET       3.100         1.09
SET       3.200         1.56
SET       3.300         1.64
SET       3.400         1.79
SET       3.500         2.18
SET       3.700         2.42
SET       3.800         2.73
SET       4.000         3.04
SET       4.100         3.20
SET       4.200         3.43
SET       4.300         3.59
SET       4.400         3.90
SET       4.500         3.98
SET       4.600         4.13
SET       4.700         4.37
SET       4.800         4.60
SET       4.900         4.76
SET       5.000         4.99
SET       5.100         5.23
SET       5.200         5.30
SET       5.300         5.46
SET       5.400         5.62
SET       5.500         5.85
SET       5.600         6.01
SET       5.700         6.16
SET       5.800         6.40
SET       6.100         6.47
SET       6.200         6.55
SET       6.400         6.63
SET       6.500         6.86
SET       6.600         6.94
SET       6.700         7.10
SET       6.800         7.25
SET       6.900         7.41
SET       7.000         7.64
SET       7.200         7.72
SET       7.300         7.96
SET       7.400         8.11
SET       7.500         8.27
SET       7.600         8.35
SET       7.700         8.66
SET       7.800         8.74
SET       7.900         8.81
SET       8.000         9.05
SET       8.100         9.20
SET       8.200         9.59
SET       8.300         9.83
SET       8.400         9.98
SET       8.500        10.22
SET       8.600        10.53
SET       8.700        10.69
SET       8.800        10.92
SET       8.900        11.08
SET       9.000        11.47
SET       9.100        11.86
SET       9.200        12.25
SET       9.300        12.40
SET       9.400        12.48
SET       9.500        12.71
SET       9.700        12.95
SET       9.800        13.18
SET       9.900        13.49
SET      10.000        14.74
SET      11.000        17.32
SET      12.000        21.61
SET      13.000        24.18
SET      14.000        29.25
SET      15.000        38.14
SET      16.000        42.28
SET      17.000        44.77
SET      18.000        46.49
SET      19.000        47.50
SET      20.000        47.89
SET      21.000        48.28
SET      22.000        48.91
SET      23.000        49.69
SET      24.000        50.55
SET      25.000        51.40
SET      26.000        53.67
SET      27.000        58.35
SET      28.000        62.95
SET      29.000        67.16
SET      30.000        81.20
SET      31.000        93.29
SET      32.000        95.01
SET      33.000        96.49
SET      34.000        97.66
SET      35.000        98.60
SET      36.000        98.67
SET      37.000        98.99
SET      38.000        99.22
SET      41.000        99.38
SET      42.000        99.45
SET      43.000        99.53
SET      44.000        99.61
SET      45.000        99.69
SET      46.000        99.84
SET      47.000        99.92
SET      48.000       100.00
---
GET      17.000         0.08
GET      25.000         0.16
GET      28.000         0.23
GET      32.000         0.31
GET      33.000         0.55
GET      34.000         0.62
GET      36.000         0.78
GET      37.000         0.86
GET      40.000         0.94
GET      41.000         1.09
GET      43.000         1.17
GET      45.000         1.25
GET      46.000         1.40
GET      47.000         2.03
GET      48.000         2.73
GET      49.000         3.04
GET      50.000         3.98
GET      51.000         5.07
GET      52.000         5.62
GET      53.000         6.24
GET      54.000         6.47
GET      56.000         6.79
GET      57.000         6.94
GET      58.000         7.18
GET      59.000         7.41
GET      60.000         7.88
GET      61.000         8.89
GET      62.000         9.59
GET      63.000        13.81
GET      64.000        15.99
GET      65.000        17.39
GET      66.000        19.81
GET      67.000        20.75
GET      68.000        21.68
GET      69.000        22.15
GET      70.000        23.17
GET      71.000        23.87
GET      72.000        24.65
GET      73.000        25.12
GET      74.000        25.82
GET      75.000        26.60
GET      76.000        27.07
GET      77.000        28.47
GET      78.000        31.36
GET      79.000        40.02
GET      80.000        42.75
GET      81.000        44.23
GET      82.000        46.88
GET      83.000        48.36
GET      84.000        48.99
GET      85.000        49.61
GET      86.000        50.31
GET      87.000        50.94
GET      88.000        51.17
GET      89.000        51.95
GET      90.000        53.12
GET      91.000        54.06
GET      92.000        54.99
GET      93.000        56.32
GET      94.000        61.93
GET      95.000        67.71
GET      96.000        69.66
GET      97.000        71.92
GET      98.000        74.02
GET      99.000        75.20
GET     100.000        76.83
GET     110.000        90.95
GET     120.000        92.90
GET     130.000        97.66
GET     140.000        98.83
GET     150.000        98.91
GET     160.000        99.61
GET     170.000        99.77
GET     180.000       100.00
---
