1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         197.78          ---          ---      5.43700       798.93 
Gets         197.75       197.70         0.06      4.66200       800.79 
Waits          0.00          ---          ---      0.00000          --- 
Totals       395.54       197.70         0.06      5.05000      1599.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.01
SET       1.600         0.04
SET       1.700         0.14
SET       1.800         0.44
SET       1.900         0.91
SET       2.000         1.92
SET       2.100         3.51
SET       2.200         5.72
SET       2.300         8.00
SET       2.400        10.72
SET       2.500        13.93
SET       2.600        16.89
SET       2.700        19.65
SET       2.800        22.54
SET       2.900        25.05
SET       3.000        27.33
SET       3.100        29.54
SET       3.200        31.82
SET       3.300        33.82
SET       3.400        35.44
SET       3.500        36.99
SET       3.600        38.35
SET       3.700        39.61
SET       3.800        40.62
SET       3.900        41.76
SET       4.000        42.69
SET       4.100        43.74
SET       4.200        44.69
SET       4.300        45.39
SET       4.400        46.20
SET       4.500        46.88
SET       4.600        47.53
SET       4.700        48.13
SET       4.800        48.70
SET       4.900        49.29
SET       5.000        49.79
SET       5.100        50.34
SET       5.200        50.85
SET       5.300        51.28
SET       5.400        51.85
SET       5.500        52.47
SET       5.600        53.02
SET       5.700        53.73
SET       5.800        54.47
SET       5.900        55.11
SET       6.000        55.90
SET       6.100        56.68
SET       6.200        57.49
SET       6.300        58.22
SET       6.400        59.15
SET       6.500        60.34
SET       6.600        61.72
SET       6.700        63.11
SET       6.800        64.52
SET       6.900        66.05
SET       7.000        67.76
SET       7.100        69.62
SET       7.200        71.61
SET       7.300        73.52
SET       7.400        75.40
SET       7.500        77.31
SET       7.600        78.97
SET       7.700        80.45
SET       7.800        81.91
SET       7.900        83.33
SET       8.000        84.67
SET       8.100        85.65
SET       8.200        86.70
SET       8.300        87.63
SET       8.400        88.51
SET       8.500        89.52
SET       8.600        90.24
SET       8.700        90.98
SET       8.800        91.74
SET       8.900        92.29
SET       9.000        92.82
SET       9.100        93.35
SET       9.200        93.62
SET       9.300        93.95
SET       9.400        94.27
SET       9.500        94.65
SET       9.600        94.98
SET       9.700        95.20
SET       9.800        95.45
SET       9.900        95.70
SET      10.000        96.55
SET      11.000        97.72
SET      12.000        98.48
SET      13.000        99.01
SET      14.000        99.34
SET      15.000        99.61
SET      16.000        99.79
SET      17.000        99.88
SET      18.000        99.93
SET      20.000        99.93
SET      21.000        99.94
SET      23.000        99.96
SET      24.000        99.96
SET      30.000        99.98
SET      39.000        99.99
SET      40.000        99.99
SET      41.000       100.00
---
GET       1.100         0.01
GET       1.200         0.01
GET       1.300         0.12
GET       1.400         0.51
GET       1.500         1.56
GET       1.600         3.30
GET       1.700         5.96
GET       1.800         9.64
GET       1.900        13.83
GET       2.000        17.89
GET       2.100        21.87
GET       2.200        25.28
GET       2.300        28.38
GET       2.400        30.97
GET       2.500        33.16
GET       2.600        35.01
GET       2.700        36.65
GET       2.800        38.16
GET       2.900        39.33
GET       3.000        40.53
GET       3.100        41.59
GET       3.200        42.40
GET       3.300        43.18
GET       3.400        43.83
GET       3.500        44.54
GET       3.600        45.15
GET       3.700        45.83
GET       3.800        46.46
GET       3.900        46.98
GET       4.000        47.66
GET       4.100        48.32
GET       4.200        48.91
GET       4.300        49.59
GET       4.400        50.15
GET       4.500        50.90
GET       4.600        51.55
GET       4.700        52.37
GET       4.800        53.23
GET       4.900        54.08
GET       5.000        54.95
GET       5.100        55.74
GET       5.200        56.67
GET       5.300        57.75
GET       5.400        58.80
GET       5.500        59.97
GET       5.600        61.04
GET       5.700        62.07
GET       5.800        63.32
GET       5.900        64.75
GET       6.000        66.23
GET       6.100        67.87
GET       6.200        69.47
GET       6.300        71.06
GET       6.400        72.69
GET       6.500        74.48
GET       6.600        76.26
GET       6.700        78.34
GET       6.800        80.17
GET       6.900        81.99
GET       7.000        83.53
GET       7.100        85.07
GET       7.200        86.69
GET       7.300        88.05
GET       7.400        89.29
GET       7.500        90.31
GET       7.600        91.09
GET       7.700        91.85
GET       7.800        92.60
GET       7.900        93.17
GET       8.000        93.81
GET       8.100        94.40
GET       8.200        94.83
GET       8.300        95.12
GET       8.400        95.49
GET       8.500        95.78
GET       8.600        96.03
GET       8.700        96.30
GET       8.800        96.53
GET       8.900        96.80
GET       9.000        96.98
GET       9.100        97.15
GET       9.200        97.28
GET       9.300        97.47
GET       9.400        97.61
GET       9.500        97.74
GET       9.600        97.91
GET       9.700        97.99
GET       9.800        98.06
GET       9.900        98.14
GET      10.000        98.50
GET      11.000        99.01
GET      12.000        99.33
GET      13.000        99.52
GET      14.000        99.65
GET      15.000        99.76
GET      16.000        99.85
GET      17.000        99.89
GET      18.000        99.91
GET      20.000        99.93
GET      21.000        99.94
GET      31.000        99.95
GET      53.000        99.96
GET      90.000        99.97
GET     140.000        99.98
GET     170.000        99.99
GET     220.000        99.99
GET     250.000       100.00
---
