secs,qlen,thru,msrt,items,nset,nget,nmget,sqt,gqt,mqt,swt,gwt,mwt
72,0,18.000000000000,0.400000000000,10,8,10,0,0.000027024250,0.000029868300,NaN,0.087916129625,0.000163975400,NaN
73,0,18.000000000000,0.200000000000,10,8,10,0,0.000029405625,0.000033902200,NaN,0.087966665875,0.000193440100,NaN
74,0,14.000000000000,0.000000000000,5,9,5,0,0.000034016556,0.000046627800,NaN,0.087921889444,0.000795440400,NaN
75,0,20.000000000000,0.700000000000,10,10,10,0,0.000027671600,0.000020783500,NaN,0.087907538300,0.000141303400,NaN
76,0,18.000000000000,0.400000000000,10,8,10,0,0.000034278625,0.000028723100,NaN,0.087881069375,0.000149200400,NaN
77,0,18.000000000000,0.200000000000,10,8,10,0,0.000041352375,0.000032111800,NaN,0.087928461000,0.000172335300,NaN
78,0,16.000000000000,0.500000000000,6,10,6,0,0.000035385000,0.000029687500,NaN,0.087937509100,0.000139005167,NaN
79,0,18.000000000000,0.555555555556,9,9,9,0,0.000023907556,0.000030790111,NaN,0.087936354667,0.000165646222,NaN
80,0,20.000000000000,0.800000000000,10,10,10,0,0.000029778600,0.000015910200,NaN,0.087865466800,0.000113131300,NaN
81,0,17.000000000000,0.200000000000,10,7,10,0,0.000027650000,0.000031429800,NaN,0.087981953857,0.000177809600,NaN
82,0,17.000000000000,0.125000000000,8,9,8,0,0.000034534444,0.000030592750,NaN,0.087926092333,0.000177500000,NaN
83,0,16.000000000000,0.571428571429,7,9,7,0,0.000024766556,0.000027228714,NaN,0.087875973667,0.000147767000,NaN
84,0,19.000000000000,0.600000000000,10,9,10,0,0.000026691778,0.000029642900,NaN,0.088338474222,0.000160219900,NaN
85,0,19.000000000000,0.400000000000,10,9,10,0,0.000029080000,0.000025340600,NaN,0.087940094333,0.000149431000,NaN
86,0,18.000000000000,0.300000000000,10,8,10,0,0.000034640750,0.000027964300,NaN,0.087928728625,0.000164267000,NaN
87,0,16.000000000000,0.500000000000,6,10,6,0,0.000037436600,0.000031995167,NaN,0.087950718000,0.000152165833,NaN
88,0,18.000000000000,0.555555555556,9,9,9,0,0.000025327111,0.000028668111,NaN,0.087887485778,0.000133219000,NaN
89,0,19.000000000000,0.500000000000,10,9,10,0,0.000034225444,0.000034209600,NaN,0.087867839222,0.000163414000,NaN
90,0,18.000000000000,0.500000000000,10,8,10,0,0.000038413250,0.000026144600,NaN,0.087913111125,0.000159411000,NaN
91,0,19.000000000000,0.500000000000,10,9,10,0,0.000030438000,0.000022692900,NaN,0.087873684444,0.000169169600,NaN
92,0,20.000000000000,0.600000000000,10,10,10,0,0.000030640500,0.000023567500,NaN,0.087899779100,0.000116530300,NaN
93,0,14.000000000000,0.200000000000,5,9,5,0,0.000035364222,0.000024918400,NaN,0.087834806222,0.000179936400,NaN
94,0,19.000000000000,0.500000000000,10,9,10,0,0.000025740333,0.000014120100,NaN,0.087938179222,0.000142989100,NaN
95,0,17.000000000000,0.200000000000,10,7,10,0,0.000030819143,0.000033975800,NaN,0.087930536286,0.000161027500,NaN
96,0,18.000000000000,0.375000000000,8,10,8,0,0.000034958200,0.000034688375,NaN,0.087932624200,0.000183765625,NaN
97,0,20.000000000000,0.700000000000,10,10,10,0,0.000029236700,0.000023357500,NaN,0.087918795200,0.000114205700,NaN
98,0,15.000000000000,0.285714285714,7,8,7,0,0.000039876000,0.000033985714,NaN,0.087935679500,0.000212451286,NaN
99,0,19.000000000000,0.500000000000,10,9,10,0,0.000035881778,0.000027710600,NaN,0.087853661444,0.000159815700,NaN
100,0,18.000000000000,0.300000000000,10,8,10,0,0.000028569000,0.000028006800,NaN,0.087941419125,0.000174244600,NaN
101,0,1.000000000000,NaN,0,1,0,0,0.000044411000,NaN,NaN,0.088017057000,NaN,NaN
