Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,29,0.013251,119955,28,0.021316,3111972,4,752,0,0.000000
1,28,0.014522,115823,28,0.021750,3116045,3,753,0,0.000000
2,28,0.013664,115817,28,0.021260,3111948,4,752,0,0.000000
3,27,0.015048,111684,27,0.022159,2996064,5,724,0,0.000000
4,27,0.012778,111681,27,0.024818,3000226,4,725,0,0.000000
5,26,0.015198,107548,26,0.022815,2896728,2,700,0,0.000000
6,27,0.013170,111681,28,0.023432,3116051,3,753,0,0.000000
7,25,0.013943,103418,24,0.027060,2656744,6,642,0,0.000000
8,28,0.013367,115819,28,0.022141,3099587,7,749,0,0.000000
9,28,0.013004,115818,28,0.022380,3107814,5,751,0,0.000000
10,26,0.014906,107540,27,0.022671,3004351,3,726,0,0.000000
11,27,0.015832,111679,27,0.021177,3004333,3,726,0,0.000000
12,28,0.011388,115818,27,0.025190,2991968,6,723,0,0.000000
13,26,0.015232,107547,26,0.023862,2888476,4,698,0,0.000000
14,27,0.012535,111677,27,0.024075,2987851,7,722,0,0.000000
15,28,0.016168,115818,29,0.019219,3227813,3,780,0,0.000000
16,25,0.014997,103409,24,0.025379,2669133,3,645,0,0.000000
17,27,0.013613,111680,27,0.023399,3008466,2,727,0,0.000000
18,25,0.017907,103409,25,0.022703,2785024,2,673,0,0.000000
19,26,0.016128,107549,27,0.021017,2991944,6,723,0,0.000000
20,29,0.012602,119954,29,0.021847,3211307,7,776,0,0.000000
21,27,0.015733,111680,27,0.021773,2971333,11,718,0,0.000000
22,29,0.013917,119955,29,0.020557,3219543,5,778,0,0.000000
23,28,0.009655,115815,27,0.027019,3004329,3,726,0,0.000000
24,28,0.014136,115822,28,0.021526,3107823,5,751,0,0.000000
25,28,0.012402,115824,28,0.022757,3103737,6,750,0,0.000000
26,26,0.011651,107545,26,0.026255,2884339,5,697,0,0.000000
27,26,0.012868,107546,26,0.026131,2884372,5,697,0,0.000000
28,30,0.012857,124091,30,0.020971,3314778,9,801,0,0.000000
29,28,0.012341,115820,28,0.022424,3111952,4,752,0,0.000000
30,26,0.015071,107541,26,0.024392,2892589,3,699,0,0.000000
31,26,0.014934,107546,26,0.022869,2876113,7,695,0,0.000000
32,28,0.014301,115819,28,0.021053,3116009,3,753,0,0.000000
33,28,0.013920,115816,28,0.021576,3116069,3,753,0,0.000000
34,27,0.013543,111682,27,0.024085,3012603,1,728,0,0.000000
35,26,0.014888,107546,26,0.023526,2896720,2,700,0,0.000000
36,26,0.011730,107550,27,0.025774,2991950,6,723,0,0.000000
37,27,0.014628,111688,26,0.022650,2888450,4,698,0,0.000000
38,26,0.013736,107549,26,0.025287,2888490,4,698,0,0.000000
39,30,0.011579,124093,30,0.021740,3318910,8,802,0,0.000000
40,28,0.014737,115824,28,0.021489,3116041,3,753,0,0.000000
41,27,0.013540,111683,27,0.023491,3000230,4,725,0,0.000000
42,28,0.009701,115818,28,0.025571,3107803,5,751,0,0.000000
43,26,0.014590,107553,26,0.023292,2884369,5,697,0,0.000000
44,30,0.013858,124089,30,0.020082,3331297,5,805,0,0.000000
45,26,0.014608,107542,27,0.022844,2963063,13,716,0,0.000000
46,28,0.013308,115827,27,0.023037,3004331,3,726,0,0.000000
47,29,0.012561,119958,30,0.021304,3323025,7,803,0,0.000000
48,26,0.016095,107546,25,0.022464,2780889,3,672,0,0.000000
49,28,0.013544,115821,28,0.022702,3120160,2,754,0,0.000000
50,25,0.016125,103408,26,0.022963,2900855,1,701,0,0.000000
51,29,0.012882,119959,28,0.022466,3124307,1,755,0,0.000000
52,25,0.014553,103409,26,0.024374,2888480,4,698,0,0.000000
53,28,0.015079,115814,27,0.020776,2996075,5,724,0,0.000000
54,27,0.013574,111681,27,0.024029,3004319,3,726,0,0.000000
55,26,0.015068,107542,27,0.022531,2996083,5,724,0,0.000000
56,30,0.014358,124092,29,0.019590,3219525,5,778,0,0.000000
57,25,0.013328,103411,25,0.025448,2780851,3,672,0,0.000000
58,27,0.012300,111682,27,0.025826,2991942,6,723,0,0.000000
59,28,0.012101,115813,28,0.023413,3091291,9,747,0,0.000000
60,25,0.014670,103404,26,0.024574,2892591,3,699,0,0.000000
61,27,0.014748,111682,27,0.022310,2991956,6,723,0,0.000000
62,26,0.017360,107545,26,0.021033,2888484,4,698,0,0.000000
63,27,0.014277,111683,26,0.023575,2884351,5,697,0,0.000000
64,25,0.014999,103406,25,0.024379,2784992,2,673,0,0.000000
65,27,0.013857,111679,27,0.024087,2996105,5,724,0,0.000000
66,27,0.012749,111687,28,0.023089,3111946,4,752,0,0.000000
67,27,0.013777,111687,26,0.023572,2888478,4,698,0,0.000000
68,30,0.012134,124095,30,0.021153,3335388,4,806,0,0.000000
69,42,0.008642,173731,43,0.015302,4763148,10,1151,0,0.000000
70,1,0.009470,4136,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   2.900,0.05
   3.400,0.10
   3.600,0.21
   3.800,0.26
   3.900,0.37
   4.000,0.57
   4.300,0.63
   4.400,0.78
   4.500,0.94
   4.600,0.99
   4.700,1.04
   4.800,1.20
   4.900,1.25
   5.100,1.36
   5.300,1.46
   5.400,1.57
   5.500,1.62
   5.600,1.67
   5.700,1.83
   5.800,1.88
   5.900,1.98
   6.000,2.09
   6.100,2.14
   6.200,2.19
   6.400,2.35
   6.500,2.40
   6.600,2.45
   6.800,2.56
   6.900,2.61
   7.000,2.71
   7.100,2.77
   7.200,2.87
   7.300,2.97
   7.400,3.08
   7.500,3.13
   7.600,3.29
   7.800,3.34
   7.900,3.44
   8.000,3.55
   8.100,3.76
   8.200,3.91
   8.300,4.07
   8.400,4.23
   8.500,4.49
   8.600,4.54
   8.700,4.59
   8.800,4.70
   8.900,4.80
   9.000,4.96
   9.100,5.01
   9.200,5.11
   9.300,5.22
   9.400,5.32
   9.500,5.48
   9.600,5.69
   9.700,5.79
   9.800,6.00
   9.900,6.05
  10.000,6.63
  11.000,7.83
  12.000,9.86
  13.000,11.80
  14.000,13.62
  15.000,16.70
  16.000,27.92
  17.000,38.57
  18.000,43.89
  19.000,46.71
  20.000,49.06
  21.000,51.67
  22.000,53.97
  23.000,55.79
  24.000,57.62
  25.000,59.13
  26.000,61.48
  27.000,64.72
  28.000,67.59
  29.000,69.42
  30.000,71.82
  31.000,81.21
  32.000,89.56
  33.000,92.17
  34.000,93.68
  35.000,94.68
  36.000,96.03
  37.000,96.66
  38.000,97.29
  39.000,97.65
  40.000,97.76
  41.000,98.02
  42.000,98.23
  43.000,98.38
  44.000,98.49
  45.000,98.54
  46.000,98.70
  47.000,99.06
  48.000,99.27
  49.000,99.43
  51.000,99.48
  52.000,99.58
  53.000,99.63
  54.000,99.69
  57.000,99.79
  58.000,99.84
  64.000,99.90
  75.000,99.95
  79.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent
   1.600,0.05
   1.800,0.10
   2.000,0.37
   2.100,0.47
   2.200,0.63
   2.300,1.10
   2.400,1.36
   2.500,1.77
   2.600,2.61
   2.700,3.23
   2.800,4.23
   2.900,4.85
   3.000,5.53
   3.100,5.89
   3.200,6.57
   3.300,7.15
   3.400,7.41
   3.500,7.88
   3.600,8.35
   3.700,8.87
   3.800,9.49
   3.900,9.91
   4.000,10.17
   4.100,10.54
   4.200,10.85
   4.300,11.16
   4.400,11.53
   4.500,11.89
   4.600,12.21
   4.700,12.52
   4.800,12.88
   4.900,13.04
   5.000,13.30
   5.100,13.56
   5.200,13.82
   5.300,14.14
   5.400,14.50
   5.500,14.81
   5.600,15.18
   5.700,15.44
   5.800,15.55
   5.900,15.96
   6.000,16.17
   6.100,16.33
   6.200,16.64
   6.300,16.95
   6.400,17.11
   6.500,17.32
   6.700,17.63
   6.800,17.68
   6.900,18.10
   7.000,18.36
   7.100,18.68
   7.200,18.73
   7.300,19.20
   7.400,19.51
   7.500,19.72
   7.600,19.98
   7.700,20.29
   7.800,20.76
   7.900,20.92
   8.000,21.28
   8.100,21.65
   8.200,22.22
   8.300,22.48
   8.400,22.85
   8.500,23.37
   8.600,23.47
   8.700,23.89
   8.800,24.20
   8.900,24.41
   9.000,24.83
   9.100,25.20
   9.200,25.61
   9.300,25.93
   9.400,26.45
   9.500,26.97
   9.600,27.18
   9.700,27.65
   9.800,28.01
   9.900,28.38
  10.000,30.36
  11.000,34.06
  12.000,36.78
  13.000,41.63
  14.000,50.81
  15.000,70.11
  16.000,82.42
  17.000,84.82
  18.000,85.65
  19.000,86.59
  20.000,87.69
  21.000,88.52
  22.000,88.89
  23.000,89.10
  24.000,89.57
  25.000,90.56
  26.000,91.55
  27.000,91.97
  28.000,93.11
  29.000,94.68
  30.000,97.60
  31.000,99.17
  32.000,99.27
  33.000,99.48
  34.000,99.69
  35.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
