1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          56.96          ---          ---     13.53400       230.09 
Gets          56.96      1528.36         9.56     21.55700      6176.47 
Waits          0.00          ---          ---      0.00000          --- 
Totals       113.92      1528.36         9.56     17.54500      6406.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.600         0.03
SET       1.900         0.08
SET       2.000         0.10
SET       2.100         0.18
SET       2.200         0.43
SET       2.300         0.75
SET       2.400         1.05
SET       2.500         1.23
SET       2.600         1.73
SET       2.700         2.31
SET       2.800         2.66
SET       2.900         3.46
SET       3.000         4.09
SET       3.100         4.64
SET       3.200         5.22
SET       3.300         5.97
SET       3.400         6.44
SET       3.500         7.15
SET       3.600         7.55
SET       3.700         8.07
SET       3.800         8.70
SET       3.900         9.03
SET       4.000         9.53
SET       4.100        10.03
SET       4.200        10.46
SET       4.300        10.83
SET       4.400        11.11
SET       4.500        11.31
SET       4.600        11.71
SET       4.700        12.04
SET       4.800        12.41
SET       4.900        12.76
SET       5.000        13.11
SET       5.100        13.59
SET       5.200        13.74
SET       5.300        14.07
SET       5.400        14.29
SET       5.500        14.62
SET       5.600        15.07
SET       5.700        15.57
SET       5.800        15.80
SET       5.900        15.97
SET       6.000        16.22
SET       6.100        16.42
SET       6.200        16.80
SET       6.300        17.10
SET       6.400        17.28
SET       6.500        17.45
SET       6.600        17.60
SET       6.700        17.85
SET       6.800        18.13
SET       6.900        18.43
SET       7.000        18.88
SET       7.100        19.18
SET       7.200        19.48
SET       7.300        19.73
SET       7.400        20.11
SET       7.500        20.39
SET       7.600        20.66
SET       7.700        20.94
SET       7.800        21.34
SET       7.900        21.56
SET       8.000        21.89
SET       8.100        22.17
SET       8.200        22.57
SET       8.300        22.92
SET       8.400        23.12
SET       8.500        23.55
SET       8.600        23.95
SET       8.700        24.27
SET       8.800        24.67
SET       8.900        24.90
SET       9.000        25.23
SET       9.100        25.70
SET       9.200        25.95
SET       9.300        26.33
SET       9.400        26.45
SET       9.500        26.78
SET       9.600        27.03
SET       9.700        27.26
SET       9.800        27.56
SET       9.900        27.93
SET      10.000        29.79
SET      11.000        33.07
SET      12.000        36.48
SET      13.000        41.22
SET      14.000        51.35
SET      15.000        72.59
SET      16.000        83.30
SET      17.000        86.08
SET      18.000        87.61
SET      19.000        88.64
SET      20.000        89.44
SET      21.000        90.05
SET      22.000        90.30
SET      23.000        90.62
SET      24.000        91.10
SET      25.000        91.68
SET      26.000        92.30
SET      27.000        92.98
SET      28.000        93.86
SET      29.000        95.44
SET      30.000        98.19
SET      31.000        99.37
SET      32.000        99.55
SET      33.000        99.70
SET      34.000        99.87
SET      35.000       100.00
---
GET       3.000         0.03
GET       3.200         0.05
GET       3.300         0.08
GET       3.400         0.13
GET       3.600         0.15
GET       3.800         0.20
GET       3.900         0.23
GET       4.000         0.25
GET       4.100         0.40
GET       4.200         0.48
GET       4.300         0.63
GET       4.400         0.80
GET       4.500         0.95
GET       4.600         1.05
GET       4.700         1.18
GET       4.800         1.28
GET       4.900         1.33
GET       5.000         1.38
GET       5.100         1.45
GET       5.200         1.63
GET       5.300         1.78
GET       5.400         1.83
GET       5.500         1.86
GET       5.600         1.98
GET       5.700         2.06
GET       5.800         2.18
GET       5.900         2.33
GET       6.000         2.38
GET       6.100         2.41
GET       6.200         2.48
GET       6.300         2.51
GET       6.400         2.61
GET       6.500         2.68
GET       6.600         2.86
GET       6.700         3.06
GET       6.800         3.16
GET       6.900         3.21
GET       7.000         3.28
GET       7.100         3.39
GET       7.200         3.51
GET       7.300         3.59
GET       7.400         3.66
GET       7.500         3.81
GET       7.600         3.96
GET       7.700         4.06
GET       7.800         4.21
GET       7.900         4.31
GET       8.000         4.41
GET       8.100         4.51
GET       8.200         4.61
GET       8.300         4.81
GET       8.400         5.02
GET       8.500         5.12
GET       8.600         5.22
GET       8.700         5.32
GET       8.800         5.52
GET       8.900         5.62
GET       9.000         5.74
GET       9.100         5.92
GET       9.200         5.97
GET       9.300         6.14
GET       9.400         6.42
GET       9.500         6.59
GET       9.600         6.67
GET       9.700         6.85
GET       9.800         7.10
GET       9.900         7.17
GET      10.000         8.30
GET      11.000         9.93
GET      12.000        11.81
GET      13.000        13.82
GET      14.000        15.50
GET      15.000        19.68
GET      16.000        32.95
GET      17.000        44.48
GET      18.000        49.95
GET      19.000        53.28
GET      20.000        55.74
GET      21.000        58.48
GET      22.000        60.81
GET      23.000        62.71
GET      24.000        64.12
GET      25.000        66.12
GET      26.000        67.98
GET      27.000        70.59
GET      28.000        72.79
GET      29.000        74.97
GET      30.000        77.16
GET      31.000        84.58
GET      32.000        91.80
GET      33.000        94.16
GET      34.000        95.16
GET      35.000        96.34
GET      36.000        97.19
GET      37.000        97.64
GET      38.000        97.92
GET      39.000        98.07
GET      40.000        98.24
GET      41.000        98.37
GET      42.000        98.55
GET      43.000        98.65
GET      44.000        98.77
GET      45.000        98.85
GET      46.000        98.92
GET      47.000        99.27
GET      48.000        99.35
GET      49.000        99.40
GET      50.000        99.42
GET      53.000        99.45
GET      56.000        99.50
GET      57.000        99.52
GET      58.000        99.55
GET      60.000        99.62
GET      62.000        99.70
GET      63.000        99.72
GET      66.000        99.75
GET      67.000        99.82
GET      70.000        99.87
GET      72.000        99.95
GET      78.000        99.97
GET      90.000       100.00
---
