Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,28,0.014440,115819,28,0.020789,3111972,4,752,0,0.000000
1,28,0.014423,115822,27,0.022391,3004311,3,726,0,0.000000
2,27,0.014395,111682,28,0.021621,3111958,4,752,0,0.000000
3,29,0.012156,119956,28,0.023370,3107788,5,751,0,0.000000
4,28,0.014014,115818,28,0.021756,3111956,4,752,0,0.000000
5,25,0.015217,103411,26,0.022860,2896728,2,700,0,0.000000
6,27,0.015614,111681,27,0.021965,3004321,3,726,0,0.000000
7,27,0.013228,111690,27,0.023819,2991932,6,723,0,0.000000
8,29,0.011877,119957,29,0.022867,3211333,7,776,0,0.000000
9,29,0.011601,119952,29,0.022852,3219540,5,778,0,0.000000
10,26,0.013142,107544,25,0.026302,2780879,3,672,0,0.000000
11,29,0.012643,119949,29,0.021817,3223670,4,779,0,0.000000
12,25,0.012989,103410,26,0.026004,2880246,6,696,0,0.000000
13,29,0.011471,119953,29,0.022430,3215408,6,777,0,0.000000
14,27,0.014997,111678,26,0.023435,2888510,4,698,0,0.000000
15,28,0.012869,115819,28,0.022603,3111944,4,752,0,0.000000
16,25,0.016735,103409,25,0.023506,2784992,2,673,0,0.000000
17,27,0.012964,111680,27,0.023500,3004331,3,726,0,0.000000
18,27,0.011947,111682,27,0.025080,3004357,3,726,0,0.000000
19,27,0.012458,111683,28,0.024268,3099561,7,749,0,0.000000
20,29,0.011457,119956,28,0.023837,3099565,7,749,0,0.000000
21,27,0.011801,111679,27,0.025190,2983722,8,721,0,0.000000
22,28,0.011580,115822,28,0.023569,3095438,8,748,0,0.000000
23,30,0.012243,124087,30,0.021609,3343642,2,808,0,0.000000
24,28,0.008841,115821,29,0.025913,3215450,6,777,0,0.000000
25,25,0.013303,103413,24,0.026952,2665035,4,644,0,0.000000
26,26,0.012592,107547,27,0.025275,3000198,4,725,0,0.000000
27,28,0.011874,115819,27,0.024513,2987850,7,722,0,0.000000
28,26,0.014256,107546,26,0.023788,2867856,9,693,0,0.000000
29,25,0.013162,103410,25,0.027890,2780883,3,672,0,0.000000
30,27,0.011819,111678,27,0.024582,3004329,3,726,0,0.000000
31,25,0.014240,103408,25,0.024534,2768500,6,669,0,0.000000
32,27,0.012520,111682,27,0.025613,3000160,4,725,0,0.000000
33,27,0.011643,111681,27,0.025419,3008466,2,727,0,0.000000
34,28,0.013588,115818,29,0.021369,3236067,1,782,0,0.000000
35,27,0.013509,111683,26,0.024995,2896706,2,700,0,0.000000
36,26,0.012104,107550,26,0.025378,2880230,6,696,0,0.000000
37,28,0.012272,115826,28,0.023749,3111912,4,752,0,0.000000
38,29,0.012022,119957,29,0.022987,3223682,4,779,0,0.000000
39,27,0.012233,111683,27,0.024459,2983708,8,721,0,0.000000
40,26,0.012963,107551,26,0.024030,2892593,3,699,0,0.000000
41,25,0.011786,103410,25,0.029768,2776766,4,671,0,0.000000
42,26,0.014462,107546,26,0.024273,2884347,5,697,0,0.000000
43,25,0.012710,103415,25,0.026653,2776774,4,671,0,0.000000
44,29,0.010673,119954,29,0.023764,3219553,5,778,0,0.000000
45,29,0.010979,119952,29,0.023234,3182400,14,769,0,0.000000
46,30,0.010853,124099,30,0.023242,3339519,3,807,0,0.000000
47,27,0.009072,111684,28,0.026607,3103688,6,750,0,0.000000
48,26,0.012737,107547,25,0.026695,2776774,4,671,0,0.000000
49,26,0.015653,107548,27,0.022372,3008428,2,727,0,0.000000
50,26,0.014792,107545,26,0.023647,2900851,1,701,0,0.000000
51,27,0.013617,111685,26,0.023129,2900847,1,701,0,0.000000
52,24,0.015743,99272,25,0.025482,2776744,4,671,0,0.000000
53,27,0.015647,111680,26,0.022175,2892599,3,699,0,0.000000
54,28,0.013945,115817,28,0.021759,3111938,4,752,0,0.000000
55,30,0.011655,124087,30,0.021690,3331255,5,805,0,0.000000
56,25,0.015866,103410,26,0.023727,2888466,4,698,0,0.000000
57,27,0.013803,111683,26,0.022959,2884333,5,697,0,0.000000
58,30,0.012023,124092,30,0.022317,3327130,6,804,0,0.000000
59,28,0.013981,115813,29,0.020499,3203025,9,774,0,0.000000
60,26,0.013686,107541,25,0.025097,2784986,2,673,0,0.000000
61,25,0.014979,103409,26,0.024072,2884351,5,697,0,0.000000
62,30,0.013973,124090,30,0.019373,3323025,7,803,0,0.000000
63,29,0.014991,119956,28,0.020631,3111936,4,752,0,0.000000
64,29,0.012491,119951,29,0.021449,3227779,3,780,0,0.000000
65,29,0.015869,119954,29,0.019272,3219569,5,778,0,0.000000
66,26,0.016064,107553,27,0.021530,2996093,5,724,0,0.000000
67,27,0.014730,111687,26,0.022702,2884347,5,697,0,0.000000
68,27,0.012389,111683,28,0.024148,3120188,2,754,0,0.000000
69,70,0.005843,289548,70,0.008563,7763352,14,1876,0,0.000000
70,1,0.007482,4136,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   2.900,0.05
   3.400,0.15
   3.500,0.21
   3.800,0.36
   3.900,0.46
   4.000,0.62
   4.100,0.72
   4.200,0.82
   4.300,0.87
   4.400,1.08
   4.500,1.18
   4.700,1.28
   4.800,1.39
   5.000,1.59
   5.200,1.64
   5.300,1.69
   5.500,1.80
   5.700,1.85
   5.800,2.00
   5.900,2.10
   6.000,2.31
   6.100,2.41
   6.200,2.46
   6.300,2.51
   6.400,2.57
   6.500,2.62
   6.800,2.67
   6.900,2.87
   7.000,2.98
   7.200,3.08
   7.300,3.13
   7.400,3.23
   7.500,3.28
   7.600,3.39
   7.700,3.54
   7.800,3.59
   7.900,3.64
   8.000,3.75
   8.200,3.85
   8.300,4.00
   8.400,4.10
   8.500,4.36
   8.600,4.57
   8.700,4.67
   8.800,4.87
   8.900,5.13
   9.000,5.23
   9.100,5.28
   9.200,5.49
   9.300,5.75
   9.400,5.90
   9.500,6.11
   9.600,6.26
   9.700,6.36
   9.800,6.67
  10.000,7.64
  11.000,9.29
  12.000,10.62
  13.000,11.90
  14.000,13.29
  15.000,16.62
  16.000,24.58
  17.000,34.27
  18.000,40.33
  19.000,43.87
  20.000,46.49
  21.000,49.15
  22.000,51.92
  23.000,54.34
  24.000,56.90
  25.000,59.57
  26.000,62.70
  27.000,66.24
  28.000,68.80
  29.000,70.81
  30.000,73.27
  31.000,81.84
  32.000,88.61
  33.000,90.76
  34.000,92.36
  35.000,93.74
  36.000,95.48
  37.000,96.51
  38.000,97.33
  39.000,97.69
  40.000,97.85
  41.000,98.05
  42.000,98.20
  43.000,98.26
  45.000,98.41
  46.000,98.56
  47.000,99.23
  48.000,99.49
  52.000,99.54
  56.000,99.64
  59.000,99.69
  60.000,99.85
  62.000,99.90
  74.000,99.95
 220.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent
   2.100,0.15
   2.200,0.26
   2.300,0.31
   2.400,0.67
   2.500,1.38
   2.600,1.74
   2.700,2.51
   2.800,3.03
   2.900,3.59
   3.000,4.26
   3.100,5.08
   3.200,6.00
   3.300,6.67
   3.400,7.38
   3.500,7.85
   3.600,8.21
   3.700,9.03
   3.800,9.59
   3.900,10.00
   4.000,10.46
   4.100,10.72
   4.200,11.08
   4.300,11.44
   4.400,11.95
   4.500,12.10
   4.600,12.51
   4.700,13.13
   4.800,13.44
   4.900,13.85
   5.000,14.41
   5.100,14.87
   5.200,15.33
   5.300,15.69
   5.400,16.26
   5.500,16.41
   5.600,16.62
   5.700,16.97
   5.800,17.28
   5.900,17.59
   6.000,17.95
   6.100,18.51
   6.200,18.72
   6.300,19.03
   6.400,19.23
   6.500,19.33
   6.600,19.64
   6.700,19.95
   6.800,20.26
   6.900,20.51
   7.000,20.82
   7.100,21.33
   7.200,21.49
   7.300,21.90
   7.400,22.21
   7.500,22.72
   7.600,23.08
   7.700,23.44
   7.800,23.95
   7.900,24.41
   8.000,24.92
   8.100,25.69
   8.200,26.15
   8.300,26.51
   8.400,26.92
   8.500,27.38
   8.600,27.59
   8.700,27.90
   8.800,28.51
   8.900,28.87
   9.000,29.33
   9.100,29.54
   9.200,29.74
   9.300,30.10
   9.400,30.26
   9.500,30.67
   9.600,31.18
   9.700,31.49
   9.800,32.00
   9.900,32.10
  10.000,34.46
  11.000,38.92
  12.000,43.49
  13.000,49.64
  14.000,58.77
  15.000,73.85
  16.000,84.97
  17.000,87.54
  18.000,88.46
  19.000,89.33
  20.000,90.21
  21.000,91.08
  22.000,91.90
  23.000,92.31
  24.000,92.56
  25.000,92.87
  26.000,93.18
  27.000,93.90
  28.000,94.62
  29.000,96.51
  30.000,98.77
  31.000,99.69
  32.000,99.79
  34.000,99.85
  35.000,99.95
  37.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
