1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         172.98          ---          ---      5.76800       698.73 
Gets         172.98      1035.55         2.31      5.77500      4186.17 
Waits          0.00          ---          ---      0.00000          --- 
Totals       345.96      1035.55         2.31      5.77200      4884.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.11
SET       1.800         0.36
SET       1.900         0.87
SET       2.000         1.82
SET       2.100         2.99
SET       2.200         4.40
SET       2.300         6.12
SET       2.400         8.32
SET       2.500        10.87
SET       2.600        13.35
SET       2.700        15.67
SET       2.800        18.36
SET       2.900        20.48
SET       3.000        22.72
SET       3.100        24.53
SET       3.200        26.38
SET       3.300        28.03
SET       3.400        29.64
SET       3.500        31.27
SET       3.600        32.50
SET       3.700        33.55
SET       3.800        34.85
SET       3.900        35.94
SET       4.000        36.97
SET       4.100        37.84
SET       4.200        38.67
SET       4.300        39.67
SET       4.400        40.48
SET       4.500        41.18
SET       4.600        41.89
SET       4.700        42.49
SET       4.800        43.17
SET       4.900        43.78
SET       5.000        44.40
SET       5.100        45.05
SET       5.200        45.78
SET       5.300        46.39
SET       5.400        47.11
SET       5.500        47.90
SET       5.600        48.67
SET       5.700        49.38
SET       5.800        50.38
SET       5.900        51.21
SET       6.000        52.14
SET       6.100        52.99
SET       6.200        53.89
SET       6.300        55.00
SET       6.400        56.32
SET       6.500        57.59
SET       6.600        58.93
SET       6.700        60.30
SET       6.800        62.04
SET       6.900        63.87
SET       7.000        65.46
SET       7.100        67.12
SET       7.200        68.96
SET       7.300        70.70
SET       7.400        72.50
SET       7.500        74.46
SET       7.600        76.19
SET       7.700        77.89
SET       7.800        79.56
SET       7.900        80.78
SET       8.000        82.10
SET       8.100        83.34
SET       8.200        84.38
SET       8.300        85.24
SET       8.400        86.31
SET       8.500        87.36
SET       8.600        88.16
SET       8.700        88.83
SET       8.800        89.45
SET       8.900        89.98
SET       9.000        90.58
SET       9.100        91.02
SET       9.200        91.54
SET       9.300        91.96
SET       9.400        92.30
SET       9.500        92.79
SET       9.600        93.12
SET       9.700        93.38
SET       9.800        93.61
SET       9.900        93.94
SET      10.000        95.19
SET      11.000        96.78
SET      12.000        97.81
SET      13.000        98.41
SET      14.000        98.90
SET      15.000        99.34
SET      16.000        99.53
SET      17.000        99.66
SET      18.000        99.76
SET      19.000        99.82
SET      20.000        99.91
SET      21.000        99.93
SET      22.000        99.96
SET      23.000        99.97
SET      24.000        99.98
SET      25.000       100.00
---
GET       1.400         0.01
GET       1.500         0.05
GET       1.600         0.14
GET       1.700         0.50
GET       1.800         0.98
GET       1.900         1.84
GET       2.000         3.06
GET       2.100         4.51
GET       2.200         6.47
GET       2.300         8.66
GET       2.400        11.13
GET       2.500        13.30
GET       2.600        15.80
GET       2.700        17.95
GET       2.800        20.12
GET       2.900        21.99
GET       3.000        23.87
GET       3.100        25.73
GET       3.200        27.54
GET       3.300        29.22
GET       3.400        30.63
GET       3.500        31.95
GET       3.600        33.15
GET       3.700        34.21
GET       3.800        35.14
GET       3.900        36.09
GET       4.000        36.99
GET       4.100        37.76
GET       4.200        38.54
GET       4.300        39.26
GET       4.400        39.92
GET       4.500        40.57
GET       4.600        41.44
GET       4.700        42.04
GET       4.800        42.79
GET       4.900        43.47
GET       5.000        44.12
GET       5.100        44.90
GET       5.200        45.58
GET       5.300        46.40
GET       5.400        47.30
GET       5.500        48.07
GET       5.600        48.93
GET       5.700        49.81
GET       5.800        50.87
GET       5.900        51.74
GET       6.000        52.96
GET       6.100        53.97
GET       6.200        55.02
GET       6.300        56.25
GET       6.400        57.68
GET       6.500        58.96
GET       6.600        60.43
GET       6.700        61.87
GET       6.800        63.42
GET       6.900        64.97
GET       7.000        66.70
GET       7.100        68.58
GET       7.200        70.30
GET       7.300        71.91
GET       7.400        73.41
GET       7.500        75.16
GET       7.600        76.75
GET       7.700        78.32
GET       7.800        79.54
GET       7.900        80.92
GET       8.000        82.14
GET       8.100        83.24
GET       8.200        84.23
GET       8.300        85.28
GET       8.400        86.27
GET       8.500        87.22
GET       8.600        87.98
GET       8.700        88.87
GET       8.800        89.40
GET       8.900        89.99
GET       9.000        90.54
GET       9.100        91.01
GET       9.200        91.54
GET       9.300        91.88
GET       9.400        92.26
GET       9.500        92.74
GET       9.600        93.04
GET       9.700        93.40
GET       9.800        93.67
GET       9.900        93.94
GET      10.000        95.10
GET      11.000        96.64
GET      12.000        97.65
GET      13.000        98.27
GET      14.000        98.84
GET      15.000        99.26
GET      16.000        99.50
GET      17.000        99.59
GET      18.000        99.69
GET      19.000        99.77
GET      20.000        99.79
GET      21.000        99.80
GET      22.000        99.82
GET      23.000        99.83
GET      29.000        99.83
GET      36.000        99.84
GET      43.000        99.86
GET      45.000        99.88
GET      46.000        99.89
GET      48.000        99.90
GET      49.000        99.93
GET      50.000        99.96
GET      51.000        99.97
GET      52.000        99.98
GET      53.000        99.99
GET      58.000       100.00
---
