Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,134,0.007425,554276,0,0.000000,0,0,0,0,0.000000
1,140,0.007173,579100,0,0.000000,0,0,0,0,0.000000
2,141,0.007062,583243,0,0.000000,0,0,0,0,0.000000
3,146,0.006862,603910,0,0.000000,0,0,0,0,0.000000
4,134,0.007409,554273,0,0.000000,0,0,0,0,0.000000
5,145,0.006900,599776,0,0.000000,0,0,0,0,0.000000
6,142,0.007049,587364,0,0.000000,0,0,0,0,0.000000
7,134,0.007415,554272,0,0.000000,0,0,0,0,0.000000
8,148,0.006793,612188,0,0.000000,0,0,0,0,0.000000
9,139,0.007234,574958,0,0.000000,0,0,0,0,0.000000
10,144,0.006888,595635,0,0.000000,0,0,0,0,0.000000
11,148,0.006791,612184,0,0.000000,0,0,0,0,0.000000
12,145,0.006887,599771,0,0.000000,0,0,0,0,0.000000
13,136,0.007314,562546,0,0.000000,0,0,0,0,0.000000
14,137,0.007325,566684,0,0.000000,0,0,0,0,0.000000
15,139,0.007216,574961,0,0.000000,0,0,0,0,0.000000
16,138,0.007222,570825,0,0.000000,0,0,0,0,0.000000
17,148,0.006711,612183,0,0.000000,0,0,0,0,0.000000
18,142,0.007082,587366,0,0.000000,0,0,0,0,0.000000
19,141,0.007082,583222,0,0.000000,0,0,0,0,0.000000
20,137,0.007263,566685,0,0.000000,0,0,0,0,0.000000
21,138,0.007260,570819,0,0.000000,0,0,0,0,0.000000
22,138,0.007277,570818,0,0.000000,0,0,0,0,0.000000
23,136,0.007310,562556,0,0.000000,0,0,0,0,0.000000
24,143,0.006994,591510,0,0.000000,0,0,0,0,0.000000
25,146,0.006885,603923,0,0.000000,0,0,0,0,0.000000
26,141,0.007033,583225,0,0.000000,0,0,0,0,0.000000
27,135,0.007409,558417,0,0.000000,0,0,0,0,0.000000
28,144,0.006992,595633,0,0.000000,0,0,0,0,0.000000
29,136,0.007340,562561,0,0.000000,0,0,0,0,0.000000
30,138,0.007192,570815,0,0.000000,0,0,0,0,0.000000
31,86,0.009492,355727,0,0.000000,0,0,0,0,0.000000
32,80,0.014896,330903,0,0.000000,0,0,0,0,0.000000
33,138,0.007193,570826,0,0.000000,0,0,0,0,0.000000
34,140,0.007194,579096,0,0.000000,0,0,0,0,0.000000
35,138,0.007243,570825,0,0.000000,0,0,0,0,0.000000
36,144,0.006918,595635,0,0.000000,0,0,0,0,0.000000
37,138,0.007260,570836,0,0.000000,0,0,0,0,0.000000
38,144,0.006900,595646,0,0.000000,0,0,0,0,0.000000
39,142,0.007058,587362,0,0.000000,0,0,0,0,0.000000
40,146,0.006833,603912,0,0.000000,0,0,0,0,0.000000
41,142,0.007022,587380,0,0.000000,0,0,0,0,0.000000
42,148,0.006812,612189,0,0.000000,0,0,0,0,0.000000
43,145,0.006830,599782,0,0.000000,0,0,0,0,0.000000
44,132,0.007567,546008,0,0.000000,0,0,0,0,0.000000
45,139,0.007207,574945,0,0.000000,0,0,0,0,0.000000
46,144,0.006925,595640,0,0.000000,0,0,0,0,0.000000
47,137,0.007342,566695,0,0.000000,0,0,0,0,0.000000
48,147,0.006781,608056,0,0.000000,0,0,0,0,0.000000
49,139,0.007155,574962,0,0.000000,0,0,0,0,0.000000
50,143,0.007032,591496,0,0.000000,0,0,0,0,0.000000
