1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          53.64          ---          ---     14.62600       216.67 
Gets          53.62      1438.67         9.17     22.64300      5814.01 
Waits          0.00          ---          ---      0.00000          --- 
Totals       107.26      1438.67         9.17     18.63400      6030.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.800         0.03
SET       2.000         0.05
SET       2.100         0.13
SET       2.200         0.29
SET       2.300         0.45
SET       2.400         0.59
SET       2.500         0.64
SET       2.600         0.99
SET       2.700         1.20
SET       2.800         1.62
SET       2.900         2.13
SET       3.000         2.45
SET       3.100         2.82
SET       3.200         3.22
SET       3.300         3.75
SET       3.400         4.13
SET       3.500         4.63
SET       3.600         5.17
SET       3.700         5.67
SET       3.800         6.05
SET       3.900         6.60
SET       4.000         6.95
SET       4.100         7.32
SET       4.200         7.78
SET       4.300         8.39
SET       4.400         8.97
SET       4.500         9.29
SET       4.600         9.69
SET       4.700        10.09
SET       4.800        10.41
SET       4.900        10.79
SET       5.000        11.29
SET       5.100        11.72
SET       5.200        12.28
SET       5.300        12.60
SET       5.400        13.00
SET       5.500        13.34
SET       5.600        13.66
SET       5.700        14.11
SET       5.800        14.43
SET       5.900        14.83
SET       6.000        15.29
SET       6.100        15.66
SET       6.200        16.03
SET       6.300        16.48
SET       6.400        16.75
SET       6.500        17.18
SET       6.600        17.55
SET       6.700        18.11
SET       6.800        18.67
SET       6.900        18.91
SET       7.000        19.31
SET       7.100        19.79
SET       7.200        20.29
SET       7.300        20.85
SET       7.400        21.28
SET       7.500        21.81
SET       7.600        22.64
SET       7.700        23.22
SET       7.800        23.81
SET       7.900        24.47
SET       8.000        25.43
SET       8.100        26.07
SET       8.200        26.47
SET       8.300        27.22
SET       8.400        27.75
SET       8.500        28.47
SET       8.600        29.24
SET       8.700        29.72
SET       8.800        30.17
SET       8.900        30.65
