2         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets           0.00          ---          ---      0.00000         0.00 
Gets        2970.97      2962.10         8.87     21.53700     11998.38 
Waits          0.00          ---          ---      0.00000          --- 
Totals      2970.97      2962.10         8.87     21.53700     11998.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       2.500         0.00
GET       2.600         0.00
GET       2.700         0.00
GET       2.800         0.00
GET       3.000         0.00
GET       3.100         0.00
GET       3.300         0.01
GET       3.400         0.01
GET       3.500         0.01
GET       3.600         0.01
GET       3.800         0.01
GET       3.900         0.01
GET       4.000         0.01
GET       4.100         0.01
GET       4.200         0.02
GET       4.300         0.02
GET       4.400         0.02
GET       4.500         0.02
GET       4.600         0.02
GET       4.700         0.02
GET       4.800         0.03
GET       4.900         0.03
GET       5.000         0.03
GET       5.100         0.04
GET       5.200         0.04
GET       5.300         0.04
GET       5.400         0.05
GET       5.500         0.05
GET       5.700         0.06
GET       5.800         0.06
GET       5.900         0.06
GET       6.000         0.06
GET       6.100         0.07
GET       6.200         0.07
GET       6.300         0.07
GET       6.400         0.08
GET       6.500         0.08
GET       6.600         0.09
GET       6.700         0.09
GET       6.800         0.10
GET       6.900         0.11
GET       7.000         0.11
GET       7.100         0.12
GET       7.200         0.12
GET       7.300         0.13
GET       7.400         0.14
GET       7.500         0.15
GET       7.600         0.16
GET       7.700         0.17
GET       7.800         0.18
GET       7.900         0.19
GET       8.000         0.21
GET       8.100         0.22
GET       8.200         0.23
GET       8.300         0.24
GET       8.400         0.26
GET       8.500         0.28
GET       8.600         0.29
GET       8.700         0.31
GET       8.800         0.33
GET       8.900         0.36
GET       9.000         0.39
GET       9.100         0.42
GET       9.200         0.44
GET       9.300         0.47
GET       9.400         0.51
GET       9.500         0.54
GET       9.600         0.57
GET       9.700         0.62
GET       9.800         0.65
GET       9.900         0.69
GET      10.000         0.94
GET      11.000         1.56
GET      12.000         2.49
GET      13.000         3.95
GET      14.000         6.06
GET      15.000         9.08
GET      16.000        13.73
GET      17.000        21.47
GET      18.000        30.89
GET      19.000        39.60
GET      20.000        47.40
GET      21.000        54.67
GET      22.000        61.37
GET      23.000        67.26
GET      24.000        72.58
GET      25.000        77.87
GET      26.000        83.06
GET      27.000        87.93
GET      28.000        91.75
GET      29.000        94.52
GET      30.000        96.26
GET      31.000        97.40
GET      32.000        98.16
GET      33.000        98.59
GET      34.000        98.89
GET      35.000        99.11
GET      36.000        99.26
GET      37.000        99.38
GET      38.000        99.47
GET      39.000        99.55
GET      40.000        99.59
GET      41.000        99.63
GET      42.000        99.65
GET      43.000        99.67
GET      44.000        99.68
GET      45.000        99.69
GET      46.000        99.70
GET      47.000        99.70
GET      48.000        99.71
GET      49.000        99.71
GET      50.000        99.72
GET      51.000        99.73
GET      52.000        99.74
GET      53.000        99.75
GET      54.000        99.76
GET      55.000        99.77
GET      56.000        99.77
GET      57.000        99.78
GET      58.000        99.78
GET      59.000        99.79
GET      60.000        99.80
GET      61.000        99.81
GET      62.000        99.83
GET      63.000        99.84
GET      64.000        99.86
GET      65.000        99.87
GET      66.000        99.88
GET      67.000        99.89
GET      68.000        99.90
GET      69.000        99.91
GET      70.000        99.91
GET      71.000        99.91
GET      72.000        99.92
GET      73.000        99.93
GET      74.000        99.93
GET      75.000        99.94
GET      76.000        99.94
GET      77.000        99.94
GET      78.000        99.94
GET      79.000        99.94
GET      80.000        99.95
GET      81.000        99.95
GET      82.000        99.95
GET      83.000        99.95
GET      84.000        99.95
GET      86.000        99.95
GET      87.000        99.95
GET      88.000        99.95
GET      89.000        99.96
GET      90.000        99.96
GET      91.000        99.96
GET      93.000        99.96
GET      94.000        99.96
GET      95.000        99.97
GET      96.000        99.97
GET      97.000        99.97
GET      98.000        99.97
GET      99.000        99.97
GET     100.000        99.98
GET     110.000        99.99
GET     120.000       100.00
GET     130.000       100.00
GET     140.000       100.00
GET     150.000       100.00
---
