Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,570,0.001746,2364262,0,570,0,0.000000
1,0,0.000000,0,644,0.001550,2671154,0,644,0,0.000000
2,0,0.000000,0,631,0.001577,2617246,0,631,0,0.000000
3,0,0.000000,0,650,0.001534,2696064,0,650,0,0.000000
4,0,0.000000,0,718,0.001393,2978076,0,718,0,0.000000
5,0,0.000000,0,729,0.001368,3023748,0,729,0,0.000000
6,0,0.000000,0,742,0.001344,3077646,0,742,0,0.000000
7,0,0.000000,0,743,0.001341,3081774,0,743,0,0.000000
8,0,0.000000,0,726,0.001369,3011292,0,726,0,0.000000
9,0,0.000000,0,727,0.001372,3011299,1,726,0,0.000000
10,0,0.000000,0,718,0.001390,2978126,0,718,0,0.000000
11,0,0.000000,0,757,0.001316,3139860,0,757,0,0.000000
12,0,0.000000,0,732,0.001363,3036174,0,732,0,0.000000
13,0,0.000000,0,743,0.001341,3081810,0,743,0,0.000000
14,0,0.000000,0,739,0.001347,3065230,0,739,0,0.000000
15,0,0.000000,0,727,0.001369,3015434,0,727,0,0.000000
16,0,0.000000,0,710,0.001407,2944952,0,710,0,0.000000
17,0,0.000000,0,752,0.001326,3119128,0,752,0,0.000000
18,0,0.000000,0,727,0.001370,3015432,0,727,0,0.000000
19,0,0.000000,0,731,0.001363,3032026,0,731,0,0.000000
20,0,0.000000,0,702,0.001422,2911758,0,702,0,0.000000
21,0,0.000000,0,722,0.001381,2994694,0,722,0,0.000000
22,0,0.000000,0,757,0.001317,3139870,0,757,0,0.000000
23,0,0.000000,0,721,0.001382,2990542,0,721,0,0.000000
24,0,0.000000,0,730,0.001366,3027874,0,730,0,0.000000
25,0,0.000000,0,741,0.001345,3073500,0,741,0,0.000000
26,0,0.000000,0,727,0.001371,3015430,0,727,0,0.000000
27,0,0.000000,0,725,0.001372,3007190,0,725,0,0.000000
28,0,0.000000,0,740,0.001347,3069368,0,740,0,0.000000
29,0,0.000000,0,758,0.001314,3144002,0,758,0,0.000000
30,0,0.000000,0,708,0.001407,2936648,0,708,0,0.000000
31,0,0.000000,0,750,0.001330,3110828,0,750,0,0.000000
32,0,0.000000,0,675,0.001477,2799766,0,675,0,0.000000
33,0,0.000000,0,601,0.001658,2492792,0,601,0,0.000000
34,0,0.000000,0,665,0.001502,2758280,0,665,0,0.000000
35,0,0.000000,0,703,0.001412,2915860,0,703,0,0.000000
36,0,0.000000,0,645,0.001553,2675280,0,645,0,0.000000
37,0,0.000000,0,637,0.001565,2642148,0,637,0,0.000000
38,0,0.000000,0,690,0.001444,2861978,0,690,0,0.000000
39,0,0.000000,0,654,0.001525,2712640,0,654,0,0.000000
40,0,0.000000,0,696,0.001431,2886846,0,696,0,0.000000
41,0,0.000000,0,493,0.002026,2044840,0,493,0,0.000000
42,0,0.000000,0,645,0.001546,2675312,0,645,0,0.000000
43,0,0.000000,0,567,0.001754,2351786,0,567,0,0.000000
44,0,0.000000,0,615,0.001625,2550884,0,615,0,0.000000
45,0,0.000000,0,617,0.001616,2559176,0,617,0,0.000000
46,0,0.000000,0,708,0.001409,2936636,0,708,0,0.000000
47,0,0.000000,0,720,0.001382,2986398,0,720,0,0.000000
48,0,0.000000,0,548,0.001820,2272980,0,548,0,0.000000
49,0,0.000000,0,709,0.001408,2940806,0,709,0,0.000000
50,0,0.000000,0,742,0.001340,3077660,0,742,0,0.000000
51,0,0.000000,0,725,0.001377,3007118,0,725,0,0.000000
52,0,0.000000,0,702,0.001418,2911716,0,702,0,0.000000
53,0,0.000000,0,753,0.001324,3123296,0,753,0,0.000000
54,0,0.000000,0,744,0.001336,3085950,0,744,0,0.000000
55,0,0.000000,0,675,0.001473,2799754,0,675,0,0.000000
56,0,0.000000,0,639,0.001564,2650400,0,639,0,0.000000
57,0,0.000000,0,689,0.001448,2857820,0,689,0,0.000000
58,0,0.000000,0,633,0.001575,2625538,0,633,0,0.000000
59,0,0.000000,0,669,0.001490,2774864,0,669,0,0.000000
60,0,0.000000,0,672,0.001483,2787304,0,672,0,0.000000
61,0,0.000000,0,658,0.001514,2729234,0,658,0,0.000000
62,0,0.000000,0,672,0.001482,2787290,0,672,0,0.000000
63,0,0.000000,0,595,0.001680,2467920,0,595,0,0.000000
64,0,0.000000,0,694,0.001436,2878546,0,694,0,0.000000
65,0,0.000000,0,738,0.001350,3056911,1,737,0,0.000000
66,0,0.000000,0,624,0.001593,2588188,0,624,0,0.000000
67,0,0.000000,0,608,0.001646,2521840,0,608,0,0.000000
68,0,0.000000,0,702,0.001420,2911714,0,702,0,0.000000
69,0,0.000000,0,715,0.001393,2965642,0,715,0,0.000000
70,0,0.000000,0,744,0.001339,3085954,0,744,0,0.000000
71,0,0.000000,0,741,0.001346,3073490,0,741,0,0.000000
72,0,0.000000,0,734,0.001354,3044474,0,734,0,0.000000
73,0,0.000000,0,693,0.001441,2874384,0,693,0,0.000000
74,0,0.000000,0,759,0.001312,3148184,0,759,0,0.000000
75,0,0.000000,0,725,0.001376,3007152,0,725,0,0.000000
76,0,0.000000,0,694,0.001437,2878564,0,694,0,0.000000
77,0,0.000000,0,733,0.001358,3040326,0,733,0,0.000000
78,0,0.000000,0,681,0.001465,2824636,0,681,0,0.000000
79,0,0.000000,0,733,0.001360,3040320,0,733,0,0.000000
80,0,0.000000,0,727,0.001372,3015444,0,727,0,0.000000
81,0,0.000000,0,692,0.001441,2870228,0,692,0,0.000000
82,0,0.000000,0,756,0.001319,3135704,0,756,0,0.000000
83,0,0.000000,0,718,0.001387,2978144,0,718,0,0.000000
84,0,0.000000,0,726,0.001370,3011260,0,726,0,0.000000
85,0,0.000000,0,747,0.001335,3098432,0,747,0,0.000000
86,0,0.000000,0,712,0.001400,2953206,0,712,0,0.000000
87,0,0.000000,0,710,0.001401,2940759,1,709,0,0.000000
88,0,0.000000,0,681,0.001464,2824624,0,681,0,0.000000
89,0,0.000000,0,750,0.001329,3110842,0,750,0,0.000000
90,0,0.000000,0,736,0.001355,3052758,0,736,0,0.000000
91,0,0.000000,0,733,0.001359,3040342,0,733,0,0.000000
92,0,0.000000,0,728,0.001368,3019604,0,728,0,0.000000
93,0,0.000000,0,757,0.001313,3139852,0,757,0,0.000000
94,0,0.000000,0,732,0.001363,3036174,0,732,0,0.000000
95,0,0.000000,0,730,0.001364,3027886,0,730,0,0.000000
96,0,0.000000,0,734,0.001359,3044494,0,734,0,0.000000
97,0,0.000000,0,706,0.001412,2928366,0,706,0,0.000000
98,0,0.000000,0,717,0.001388,2973980,0,717,0,0.000000
99,0,0.000000,0,681,0.001464,2824636,0,681,0,0.000000
100,0,0.000000,0,1,0.001043,4148,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.460,0.00
   0.470,0.00
   0.480,0.01
   0.490,0.01
   0.500,0.02
   0.510,0.02
   0.520,0.03
   0.530,0.04
   0.540,0.05
   0.550,0.08
   0.560,0.11
   0.570,0.13
   0.580,0.18
   0.590,0.23
   0.600,0.30
   0.610,0.38
   0.620,0.48
   0.630,0.63
   0.640,0.79
   0.650,0.99
   0.660,1.25
   0.670,1.58
   0.680,1.91
