Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,152,0.006567,618101,3,149,0,0.000000
1,0,0.000000,0,184,0.005401,759069,1,183,0,0.000000
2,0,0.000000,0,185,0.005415,763219,1,184,0,0.000000
3,0,0.000000,0,187,0.005333,763259,3,184,0,0.000000
4,0,0.000000,0,194,0.005140,796416,2,192,0,0.000000
5,0,0.000000,0,190,0.005255,779820,2,188,0,0.000000
6,0,0.000000,0,182,0.005480,750775,1,181,0,0.000000
7,0,0.000000,0,188,0.005337,771528,2,186,0,0.000000
8,0,0.000000,0,187,0.005317,763261,3,184,0,0.000000
9,0,0.000000,0,190,0.005264,783953,1,189,0,0.000000
10,0,0.000000,0,196,0.005096,796470,4,192,0,0.000000
11,0,0.000000,0,202,0.004961,829604,2,200,0,0.000000
12,0,0.000000,0,196,0.005105,812966,0,196,0,0.000000
13,0,0.000000,0,196,0.005093,796465,4,192,0,0.000000
14,0,0.000000,0,185,0.005377,767334,0,185,0,0.000000
15,0,0.000000,0,190,0.005270,788052,0,190,0,0.000000
16,0,0.000000,0,186,0.005372,759113,3,183,0,0.000000
17,0,0.000000,0,195,0.005100,800570,2,193,0,0.000000
18,0,0.000000,0,188,0.005340,763276,4,184,0,0.000000
19,0,0.000000,0,199,0.005016,821289,1,198,0,0.000000
20,0,0.000000,0,197,0.005048,808874,2,195,0,0.000000
21,0,0.000000,0,199,0.005044,813035,3,196,0,0.000000
22,0,0.000000,0,196,0.005072,808833,1,195,0,0.000000
23,0,0.000000,0,196,0.005109,804702,2,194,0,0.000000
24,0,0.000000,0,189,0.005290,775688,2,187,0,0.000000
25,0,0.000000,0,185,0.005398,759082,2,183,0,0.000000
26,0,0.000000,0,198,0.005039,813008,2,196,0,0.000000
27,0,0.000000,0,186,0.005347,771478,0,186,0,0.000000
28,0,0.000000,0,194,0.005175,800543,1,193,0,0.000000
29,0,0.000000,0,196,0.005082,804720,2,194,0,0.000000
30,0,0.000000,0,196,0.005093,808839,1,195,0,0.000000
31,0,0.000000,0,187,0.005366,771505,1,186,0,0.000000
32,0,0.000000,0,193,0.005167,788137,3,190,0,0.000000
33,0,0.000000,0,187,0.005350,763261,3,184,0,0.000000
34,0,0.000000,0,193,0.005144,784016,4,189,0,0.000000
35,0,0.000000,0,187,0.005366,771513,1,186,0,0.000000
36,0,0.000000,0,198,0.005027,817151,1,197,0,0.000000
37,0,0.000000,0,185,0.005400,767348,0,185,0,0.000000
38,0,0.000000,0,203,0.004929,829632,3,200,0,0.000000
39,0,0.000000,0,220,0.004512,904248,2,218,0,0.000000
40,0,0.000000,0,186,0.005397,767345,1,185,0,0.000000
41,0,0.000000,0,176,0.005678,725901,1,175,0,0.000000
42,0,0.000000,0,182,0.005494,750747,1,181,0,0.000000
43,0,0.000000,0,197,0.005054,808880,2,195,0,0.000000
44,0,0.000000,0,210,0.004759,858659,3,207,0,0.000000
45,0,0.000000,0,205,0.004884,846177,1,204,0,0.000000
46,0,0.000000,0,193,0.005155,800506,0,193,0,0.000000
47,0,0.000000,0,199,0.005022,808914,4,195,0,0.000000
48,0,0.000000,0,195,0.005138,804693,1,194,0,0.000000
49,0,0.000000,0,194,0.005118,796420,2,192,0,0.000000
50,0,0.000000,0,189,0.005283,779807,1,188,0,0.000000
51,0,0.000000,0,197,0.005085,808858,2,195,0,0.000000
52,0,0.000000,0,201,0.004965,825460,2,199,0,0.000000
53,0,0.000000,0,194,0.005146,796442,2,192,0,0.000000
54,0,0.000000,0,199,0.005018,808908,4,195,0,0.000000
55,0,0.000000,0,206,0.004869,854442,0,206,0,0.000000
56,0,0.000000,0,202,0.004922,829594,2,200,0,0.000000
57,0,0.000000,0,205,0.004881,833794,4,201,0,0.000000
58,0,0.000000,0,192,0.005209,788138,2,190,0,0.000000
59,0,0.000000,0,194,0.005149,796424,2,192,0,0.000000
60,0,0.000000,0,195,0.005117,804691,1,194,0,0.000000
61,0,0.000000,0,204,0.004886,837916,2,202,0,0.000000
62,0,0.000000,0,214,0.004663,883497,1,213,0,0.000000
63,0,0.000000,0,208,0.004816,862744,0,208,0,0.000000
64,0,0.000000,0,194,0.005140,792289,3,191,0,0.000000
65,0,0.000000,0,190,0.005264,779826,2,188,0,0.000000
66,0,0.000000,0,190,0.005265,788062,0,190,0,0.000000
67,0,0.000000,0,200,0.004995,821310,2,198,0,0.000000
68,0,0.000000,0,201,0.004956,829587,1,200,0,0.000000
69,0,0.000000,0,197,0.005058,817120,0,197,0,0.000000
70,0,0.000000,0,1,0.008959,4148,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   1.000,0.01
   1.100,0.04
   1.200,0.07
   1.300,0.15
   1.400,0.30
   1.500,0.69
   1.600,1.51
   1.700,2.80
   1.800,5.30
   1.900,8.59
   2.000,12.27
   2.100,16.57
   2.200,20.49
   2.300,24.15
   2.400,27.52
   2.500,30.16
   2.600,32.67
   2.700,34.81
   2.800,36.45
   2.900,37.96
   3.000,39.27
   3.100,40.36
   3.200,41.42
   3.300,42.22
   3.400,43.08
   3.500,43.75
   3.600,44.43
   3.700,44.94
   3.800,45.46
   3.900,45.96
   4.000,46.33
   4.100,46.66
   4.200,47.00
   4.300,47.41
   4.400,47.78
   4.500,48.14
   4.600,48.47
   4.700,48.76
   4.800,49.10
   4.900,49.45
   5.000,49.80
   5.100,50.26
   5.200,50.65
   5.300,51.08
   5.400,51.51
   5.500,52.05
   5.600,52.58
   5.700,53.19
   5.800,53.86
   5.900,54.53
   6.000,55.38
   6.100,56.14
   6.200,56.87
   6.300,57.78
   6.400,58.84
   6.500,59.90
   6.600,61.02
   6.700,62.32
   6.800,63.59
   6.900,65.13
   7.000,66.83
   7.100,68.47
   7.200,70.17
   7.300,71.95
   7.400,73.71
   7.500,75.78
   7.600,77.58
   7.700,79.61
   7.800,81.46
   7.900,83.29
   8.000,84.97
   8.100,86.49
   8.200,87.96
   8.300,89.26
   8.400,90.34
   8.500,91.24
   8.600,92.11
   8.700,92.86
   8.800,93.44
   8.900,93.96
   9.000,94.35
   9.100,94.88
   9.200,95.17
   9.300,95.44
   9.400,95.71
   9.500,95.92
   9.600,96.20
   9.700,96.42
   9.800,96.60
   9.900,96.79
  10.000,97.58
  11.000,98.35
  12.000,98.87
  13.000,99.23
  14.000,99.41
  15.000,99.57
  16.000,99.71
  17.000,99.81
  18.000,99.84
  19.000,99.88
  20.000,99.90
  21.000,99.93
  22.000,99.96
  23.000,99.96
  24.000,99.98
  27.000,99.99
  30.000,99.99
  32.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent

Full-Test WAIT Latency
Latency (<= msec),Percent
