Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,246,0.004062,1017554,0,0.000000,0,0,0,0,0.000000
1,244,0.004093,1009289,0,0.000000,0,0,0,0,0.000000
2,245,0.004075,1013416,0,0.000000,0,0,0,0,0.000000
3,246,0.004037,1017548,0,0.000000,0,0,0,0,0.000000
4,252,0.003994,1042361,0,0.000000,0,0,0,0,0.000000
5,225,0.004439,930693,0,0.000000,0,0,0,0,0.000000
6,252,0.003969,1042365,0,0.000000,0,0,0,0,0.000000
7,254,0.003931,1050632,0,0.000000,0,0,0,0,0.000000
8,246,0.004060,1017560,0,0.000000,0,0,0,0,0.000000
9,251,0.003978,1038226,0,0.000000,0,0,0,0,0.000000
10,260,0.003850,1075464,0,0.000000,0,0,0,0,0.000000
11,254,0.003943,1050631,0,0.000000,0,0,0,0,0.000000
12,249,0.004009,1029954,0,0.000000,0,0,0,0,0.000000
13,247,0.004052,1021703,0,0.000000,0,0,0,0,0.000000
14,245,0.004050,1013425,0,0.000000,0,0,0,0,0.000000
15,243,0.004123,1005145,0,0.000000,0,0,0,0,0.000000
16,253,0.003952,1046507,0,0.000000,0,0,0,0,0.000000
17,253,0.003967,1046500,0,0.000000,0,0,0,0,0.000000
18,257,0.003885,1063043,0,0.000000,0,0,0,0,0.000000
19,247,0.004042,1021695,0,0.000000,0,0,0,0,0.000000
20,248,0.004033,1025836,0,0.000000,0,0,0,0,0.000000
21,250,0.004002,1034105,0,0.000000,0,0,0,0,0.000000
22,241,0.004132,996872,0,0.000000,0,0,0,0,0.000000
23,243,0.004123,1005151,0,0.000000,0,0,0,0,0.000000
24,248,0.004002,1025833,0,0.000000,0,0,0,0,0.000000
25,257,0.003917,1063038,0,0.000000,0,0,0,0,0.000000
26,253,0.003943,1046525,0,0.000000,0,0,0,0,0.000000
27,242,0.004123,1001010,0,0.000000,0,0,0,0,0.000000
28,255,0.003933,1054760,0,0.000000,0,0,0,0,0.000000
29,251,0.003980,1038248,0,0.000000,0,0,0,0,0.000000
30,251,0.003985,1038246,0,0.000000,0,0,0,0,0.000000
31,254,0.003929,1050645,0,0.000000,0,0,0,0,0.000000
32,249,0.004004,1029974,0,0.000000,0,0,0,0,0.000000
33,254,0.003943,1050634,0,0.000000,0,0,0,0,0.000000
34,253,0.003952,1046502,0,0.000000,0,0,0,0,0.000000
35,246,0.004030,1017554,0,0.000000,0,0,0,0,0.000000
36,254,0.003968,1050650,0,0.000000,0,0,0,0,0.000000
37,258,0.003875,1067176,0,0.000000,0,0,0,0,0.000000
38,248,0.004004,1025829,0,0.000000,0,0,0,0,0.000000
39,252,0.003974,1042370,0,0.000000,0,0,0,0,0.000000
40,248,0.004030,1025824,0,0.000000,0,0,0,0,0.000000
41,245,0.004073,1013415,0,0.000000,0,0,0,0,0.000000
42,250,0.003987,1034106,0,0.000000,0,0,0,0,0.000000
43,257,0.003921,1063049,0,0.000000,0,0,0,0,0.000000
44,257,0.003880,1063055,0,0.000000,0,0,0,0,0.000000
45,248,0.004038,1025817,0,0.000000,0,0,0,0,0.000000
46,243,0.004115,1005133,0,0.000000,0,0,0,0,0.000000
47,250,0.003992,1034104,0,0.000000,0,0,0,0,0.000000
48,234,0.004277,967920,0,0.000000,0,0,0,0,0.000000
49,247,0.004037,1021691,0,0.000000,0,0,0,0,0.000000
50,248,0.004043,1025832,0,0.000000,0,0,0,0,0.000000
51,238,0.004183,984437,0,0.000000,0,0,0,0,0.000000
52,246,0.004074,1017557,0,0.000000,0,0,0,0,0.000000
53,242,0.004109,1001015,0,0.000000,0,0,0,0,0.000000
54,241,0.004149,996866,0,0.000000,0,0,0,0,0.000000
55,249,0.004024,1029958,0,0.000000,0,0,0,0,0.000000
56,249,0.004019,1029958,0,0.000000,0,0,0,0,0.000000
57,248,0.004025,1025805,0,0.000000,0,0,0,0,0.000000
58,247,0.004047,1021667,0,0.000000,0,0,0,0,0.000000
59,249,0.003989,1029964,0,0.000000,0,0,0,0,0.000000
60,247,0.004078,1021703,0,0.000000,0,0,0,0,0.000000
61,251,0.003962,1038240,0,0.000000,0,0,0,0,0.000000
62,259,0.003882,1071339,0,0.000000,0,0,0,0,0.000000
63,250,0.003989,1034082,0,0.000000,0,0,0,0,0.000000
64,246,0.004060,1017559,0,0.000000,0,0,0,0,0.000000
65,249,0.004020,1029980,0,0.000000,0,0,0,0,0.000000
66,240,0.004166,992738,0,0.000000,0,0,0,0,0.000000
67,253,0.003931,1046499,0,0.000000,0,0,0,0,0.000000
68,249,0.004013,1029969,0,0.000000,0,0,0,0,0.000000
69,253,0.003971,1046503,0,0.000000,0,0,0,0,0.000000
70,257,0.003886,1063053,0,0.000000,0,0,0,0,0.000000
71,256,0.003902,1058909,0,0.000000,0,0,0,0,0.000000
72,236,0.004215,976192,0,0.000000,0,0,0,0,0.000000
73,247,0.004052,1021691,0,0.000000,0,0,0,0,0.000000
74,248,0.004049,1025829,0,0.000000,0,0,0,0,0.000000
75,243,0.004093,1005145,0,0.000000,0,0,0,0,0.000000
76,245,0.004099,1013413,0,0.000000,0,0,0,0,0.000000
77,248,0.004005,1025833,0,0.000000,0,0,0,0,0.000000
78,245,0.004094,1013419,0,0.000000,0,0,0,0,0.000000
79,252,0.003962,1042360,0,0.000000,0,0,0,0,0.000000
80,247,0.004042,1021669,0,0.000000,0,0,0,0,0.000000
81,250,0.004006,1034096,0,0.000000,0,0,0,0,0.000000
82,242,0.004137,1000993,0,0.000000,0,0,0,0,0.000000
83,238,0.004191,984467,0,0.000000,0,0,0,0,0.000000
84,244,0.004088,1009283,0,0.000000,0,0,0,0,0.000000
85,248,0.004043,1025822,0,0.000000,0,0,0,0,0.000000
86,246,0.004067,1017533,0,0.000000,0,0,0,0,0.000000
87,241,0.004127,996869,0,0.000000,0,0,0,0,0.000000
88,242,0.004147,1001020,0,0.000000,0,0,0,0,0.000000
89,242,0.004109,1000999,0,0.000000,0,0,0,0,0.000000
90,243,0.004131,1005139,0,0.000000,0,0,0,0,0.000000
91,242,0.004129,1000999,0,0.000000,0,0,0,0,0.000000
92,247,0.004055,1021689,0,0.000000,0,0,0,0,0.000000
93,259,0.003847,1071316,0,0.000000,0,0,0,0,0.000000
94,242,0.004140,1000997,0,0.000000,0,0,0,0,0.000000
95,250,0.003987,1034101,0,0.000000,0,0,0,0,0.000000
96,242,0.004145,1000994,0,0.000000,0,0,0,0,0.000000
97,242,0.004123,1001009,0,0.000000,0,0,0,0,0.000000
98,245,0.004079,1013410,0,0.000000,0,0,0,0,0.000000
99,260,0.003842,1075475,0,0.000000,0,0,0,0,0.000000
100,1,0.003745,4137,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent

Full-Test SET Latency
Latency (<= msec),Percent
   0.700,0.00
   0.730,0.01
   0.760,0.01
   0.770,0.02
   0.780,0.02
   0.820,0.02
   0.830,0.04
   0.840,0.05
   0.850,0.06
   0.860,0.06
   0.870,0.07
   0.880,0.09
   0.890,0.13
   0.900,0.17
   0.910,0.21
   0.920,0.24
   0.930,0.27
   0.940,0.31
   0.950,0.34
   0.960,0.38
   0.970,0.45
   0.980,0.52
   0.990,0.59
   1.000,1.05
   1.100,2.30
   1.200,3.70
   1.300,5.44
   1.400,7.51
   1.500,10.35
   1.600,13.45
   1.700,16.80
   1.800,20.08
   1.900,23.73
   2.000,27.00
   2.100,30.07
   2.200,33.20
   2.300,36.30
   2.400,39.38
   2.500,42.51
   2.600,45.41
