1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         169.18          ---          ---      6.09300       683.40 
Gets         169.17       506.82         0.69      5.71200      2049.62 
Waits          0.00          ---          ---      0.00000          --- 
Totals       338.35       506.82         0.69      5.90300      2733.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.02
SET       1.600         0.03
SET       1.700         0.15
SET       1.800         0.44
SET       1.900         0.81
SET       2.000         1.56
SET       2.100         2.69
SET       2.200         3.99
SET       2.300         5.75
SET       2.400         7.43
SET       2.500         9.44
SET       2.600        11.62
SET       2.700        13.75
SET       2.800        15.82
SET       2.900        17.72
SET       3.000        20.05
SET       3.100        22.02
SET       3.200        23.92
SET       3.300        25.71
SET       3.400        27.35
SET       3.500        28.81
SET       3.600        30.36
SET       3.700        31.75
SET       3.800        32.78
SET       3.900        33.88
SET       4.000        35.09
SET       4.100        35.96
SET       4.200        36.93
SET       4.300        37.81
SET       4.400        38.76
SET       4.500        39.51
SET       4.600        40.42
SET       4.700        41.08
SET       4.800        41.59
SET       4.900        42.24
SET       5.000        42.90
SET       5.100        43.60
SET       5.200        44.18
SET       5.300        44.83
SET       5.400        45.37
SET       5.500        46.07
SET       5.600        46.67
SET       5.700        47.38
SET       5.800        47.95
SET       5.900        48.64
SET       6.000        49.26
SET       6.100        49.99
SET       6.200        50.91
SET       6.300        51.65
SET       6.400        52.52
SET       6.500        53.38
SET       6.600        54.18
SET       6.700        55.03
SET       6.800        56.13
SET       6.900        57.15
SET       7.000        58.31
SET       7.100        59.34
SET       7.200        60.55
SET       7.300        61.93
SET       7.400        63.46
SET       7.500        64.98
SET       7.600        66.55
SET       7.700        68.10
SET       7.800        69.99
SET       7.900        71.89
SET       8.000        73.60
SET       8.100        75.34
SET       8.200        77.25
SET       8.300        78.61
SET       8.400        80.44
SET       8.500        81.81
SET       8.600        83.02
SET       8.700        84.31
SET       8.800        85.42
SET       8.900        86.41
SET       9.000        87.17
SET       9.100        88.05
SET       9.200        88.78
SET       9.300        89.56
SET       9.400        90.18
SET       9.500        90.76
SET       9.600        91.27
SET       9.700        91.74
SET       9.800        92.06
SET       9.900        92.47
SET      10.000        94.16
SET      11.000        95.96
SET      12.000        97.17
SET      13.000        97.83
SET      14.000        98.48
SET      15.000        98.99
SET      16.000        99.44
SET      17.000        99.63
SET      18.000        99.79
SET      19.000        99.86
SET      20.000        99.91
SET      21.000        99.92
SET      23.000        99.93
SET      24.000        99.96
SET      25.000        99.97
SET      26.000        99.98
SET      27.000        99.99
SET      33.000       100.00
---
GET       1.300         0.02
GET       1.400         0.09
GET       1.500         0.27
GET       1.600         0.77
GET       1.700         1.77
GET       1.800         3.01
GET       1.900         4.70
GET       2.000         6.55
GET       2.100         8.82
GET       2.200        11.35
GET       2.300        13.86
GET       2.400        16.05
GET       2.500        18.36
GET       2.600        20.44
GET       2.700        22.44
GET       2.800        24.31
GET       2.900        26.16
GET       3.000        27.93
GET       3.100        29.26
GET       3.200        30.28
GET       3.300        31.35
GET       3.400        32.43
GET       3.500        33.50
GET       3.600        34.48
GET       3.700        35.36
GET       3.800        36.28
GET       3.900        37.00
GET       4.000        37.88
GET       4.100        38.57
GET       4.200        39.19
GET       4.300        39.83
GET       4.400        40.39
GET       4.500        41.06
GET       4.600        41.76
GET       4.700        42.37
GET       4.800        43.07
GET       4.900        43.70
GET       5.000        44.37
GET       5.100        45.09
GET       5.200        45.84
GET       5.300        46.59
GET       5.400        47.48
GET       5.500        48.33
GET       5.600        49.17
GET       5.700        50.08
GET       5.800        51.08
GET       5.900        52.29
GET       6.000        53.29
GET       6.100        54.34
GET       6.200        55.42
GET       6.300        56.59
GET       6.400        57.87
GET       6.500        59.11
GET       6.600        60.35
GET       6.700        61.75
GET       6.800        63.26
GET       6.900        64.87
GET       7.000        66.28
GET       7.100        67.85
GET       7.200        69.35
GET       7.300        70.95
GET       7.400        72.83
GET       7.500        74.55
GET       7.600        76.18
GET       7.700        77.66
GET       7.800        79.44
GET       7.900        80.82
GET       8.000        82.43
GET       8.100        83.73
GET       8.200        85.10
GET       8.300        86.19
GET       8.400        87.31
GET       8.500        88.25
GET       8.600        89.13
GET       8.700        89.89
GET       8.800        90.53
GET       8.900        91.25
GET       9.000        91.83
GET       9.100        92.43
GET       9.200        92.92
GET       9.300        93.28
GET       9.400        93.59
GET       9.500        93.95
GET       9.600        94.32
GET       9.700        94.60
GET       9.800        94.82
GET       9.900        95.09
GET      10.000        95.96
GET      11.000        97.05
GET      12.000        97.75
GET      13.000        98.38
GET      14.000        98.81
GET      15.000        99.08
GET      16.000        99.33
GET      17.000        99.47
GET      18.000        99.52
GET      19.000        99.59
GET      20.000        99.62
GET      22.000        99.63
GET      23.000        99.66
GET      24.000        99.69
GET      25.000        99.70
GET      27.000        99.70
GET      43.000        99.72
GET      45.000        99.76
GET      47.000        99.77
GET      48.000        99.80
GET      49.000        99.86
GET      50.000        99.87
GET      51.000        99.90
GET      52.000        99.92
GET      53.000        99.94
GET      54.000        99.96
GET      55.000        99.99
GET      56.000       100.00
---
