1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          87.49          ---          ---     10.29400       353.43 
Gets          87.48      1562.32        12.31     12.54600      6314.02 
Waits          0.00          ---          ---      0.00000          --- 
Totals       174.97      1562.32        12.31     11.42000      6667.45 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.02
SET       1.600         0.05
SET       1.700         0.08
SET       1.800         0.13
SET       1.900         0.26
SET       2.000         0.49
SET       2.100         0.78
SET       2.200         1.22
SET       2.300         1.93
SET       2.400         2.81
SET       2.500         3.79
SET       2.600         4.62
SET       2.700         5.67
SET       2.800         6.51
SET       2.900         7.27
SET       3.000         8.08
SET       3.100         8.98
SET       3.200        10.11
SET       3.300        10.86
SET       3.400        11.61
SET       3.500        12.70
SET       3.600        13.49
SET       3.700        14.22
SET       3.800        14.79
SET       3.900        15.31
SET       4.000        15.95
SET       4.100        16.56
SET       4.200        17.11
SET       4.300        17.70
SET       4.400        18.11
SET       4.500        18.76
SET       4.600        19.35
SET       4.700        19.92
SET       4.800        20.52
SET       4.900        21.03
SET       5.000        21.53
SET       5.100        21.98
SET       5.200        22.40
SET       5.300        22.96
SET       5.400        23.48
SET       5.500        24.03
SET       5.600        24.64
SET       5.700        25.27
SET       5.800        25.70
SET       5.900        26.19
SET       6.000        26.92
SET       6.100        27.56
SET       6.200        28.23
SET       6.300        28.91
SET       6.400        29.55
SET       6.500        30.30
SET       6.600        30.97
SET       6.700        31.87
SET       6.800        32.75
SET       6.900        33.44
SET       7.000        34.20
SET       7.100        35.22
SET       7.200        36.21
SET       7.300        36.87
SET       7.400        37.71
SET       7.500        38.69
SET       7.600        39.49
SET       7.700        40.20
SET       7.800        41.19
SET       7.900        42.14
SET       8.000        42.94
SET       8.100        43.85
SET       8.200        44.60
SET       8.300        45.55
SET       8.400        46.38
SET       8.500        46.97
SET       8.600        47.66
SET       8.700        48.42
SET       8.800        49.21
SET       8.900        49.93
SET       9.000        50.50
SET       9.100        51.10
SET       9.200        51.79
SET       9.300        52.38
SET       9.400        52.98
SET       9.500        53.57
SET       9.600        54.14
SET       9.700        54.63
SET       9.800        55.10
SET       9.900        55.51
SET      10.000        57.91
SET      11.000        62.60
SET      12.000        66.89
SET      13.000        70.82
SET      14.000        76.26
SET      15.000        83.71
SET      16.000        88.70
SET      17.000        90.43
SET      18.000        91.59
SET      19.000        92.75
SET      20.000        93.96
SET      21.000        94.79
SET      22.000        95.54
SET      23.000        96.18
SET      24.000        96.65
SET      25.000        96.96
SET      26.000        97.34
SET      27.000        97.76
SET      28.000        98.12
SET      29.000        98.38
SET      30.000        98.97
SET      31.000        99.40
SET      32.000        99.59
SET      33.000        99.66
SET      34.000        99.76
SET      35.000        99.89
SET      36.000        99.93
SET      37.000        99.97
SET      41.000        99.98
SET      42.000       100.00
---
GET       2.000         0.02
GET       2.100         0.05
GET       2.200         0.13
GET       2.300         0.26
GET       2.400         0.51
GET       2.500         0.83
GET       2.600         1.42
GET       2.700         1.86
GET       2.800         2.60
GET       2.900         3.15
GET       3.000         3.80
GET       3.100         4.67
GET       3.200         5.34
GET       3.300         5.93
GET       3.400         6.86
GET       3.500         7.71
GET       3.600         8.69
GET       3.700         9.63
GET       3.800        10.29
GET       3.900        11.23
GET       4.000        12.02
GET       4.100        12.88
GET       4.200        13.70
GET       4.300        14.37
GET       4.400        15.17
GET       4.500        15.81
GET       4.600        16.46
GET       4.700        17.10
GET       4.800        17.80
GET       4.900        18.27
GET       5.000        19.17
GET       5.100        19.77
GET       5.200        20.49
GET       5.300        21.08
GET       5.400        21.75
GET       5.500        22.32
GET       5.600        22.84
GET       5.700        23.47
GET       5.800        24.22
GET       5.900        24.84
GET       6.000        25.42
GET       6.100        26.09
GET       6.200        26.65
GET       6.300        27.12
GET       6.400        27.89
GET       6.500        28.67
GET       6.600        29.28
GET       6.700        30.14
GET       6.800        30.96
GET       6.900        31.68
GET       7.000        32.61
GET       7.100        33.70
GET       7.200        34.59
GET       7.300        35.25
GET       7.400        36.04
GET       7.500        36.92
GET       7.600        37.51
GET       7.700        38.28
GET       7.800        39.19
GET       7.900        39.78
GET       8.000        40.56
GET       8.100        41.53
GET       8.200        42.16
GET       8.300        43.19
GET       8.400        43.97
GET       8.500        44.60
GET       8.600        45.26
GET       8.700        46.03
GET       8.800        46.90
GET       8.900        47.42
GET       9.000        48.29
GET       9.100        48.84
GET       9.200        49.69
GET       9.300        50.38
GET       9.400        50.87
GET       9.500        51.40
GET       9.600        51.86
GET       9.700        52.48
GET       9.800        52.86
GET       9.900        53.69
GET      10.000        55.94
GET      11.000        59.31
GET      12.000        61.19
GET      13.000        63.47
GET      14.000        65.82
GET      15.000        68.65
GET      16.000        74.25
GET      17.000        78.53
GET      18.000        81.14
GET      19.000        82.71
GET      20.000        83.75
GET      21.000        84.88
GET      22.000        86.10
GET      23.000        87.33
GET      24.000        88.24
GET      25.000        89.61
GET      26.000        90.25
GET      27.000        90.92
GET      28.000        91.31
GET      29.000        91.80
GET      30.000        92.54
GET      31.000        94.69
GET      32.000        96.46
GET      33.000        97.29
GET      34.000        97.81
GET      35.000        98.29
GET      36.000        98.56
GET      37.000        98.74
GET      38.000        98.86
GET      39.000        98.89
GET      40.000        99.04
GET      41.000        99.13
GET      42.000        99.20
GET      43.000        99.30
GET      44.000        99.31
GET      46.000        99.44
GET      47.000        99.54
GET      48.000        99.67
GET      49.000        99.79
GET      50.000        99.80
GET      51.000        99.84
GET      52.000        99.85
GET      53.000        99.89
GET      57.000        99.90
GET      59.000        99.92
GET      61.000        99.93
GET      63.000        99.97
GET      64.000        99.98
GET      73.000       100.00
---
