Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,23,0.041993,95402,0,23,0,0.000000
1,0,0.000000,0,23,0.044151,95402,0,23,0,0.000000
2,0,0.000000,0,21,0.047634,87108,0,21,0,0.000000
3,0,0.000000,0,10,0.092149,41478,0,10,0,0.000000
4,0,0.000000,0,13,0.079353,53922,0,13,0,0.000000
5,0,0.000000,0,11,0.093727,45624,0,11,0,0.000000
6,0,0.000000,0,21,0.043158,87102,0,21,0,0.000000
7,0,0.000000,0,19,0.058383,78810,0,19,0,0.000000
8,0,0.000000,0,16,0.061525,66366,0,16,0,0.000000
9,0,0.000000,0,18,0.053824,74664,0,18,0,0.000000
10,0,0.000000,0,18,0.058132,74662,0,18,0,0.000000
11,0,0.000000,0,10,0.098438,41478,0,10,0,0.000000
12,0,0.000000,0,18,0.056422,74660,0,18,0,0.000000
13,0,0.000000,0,13,0.078117,53920,0,13,0,0.000000
14,0,0.000000,0,14,0.061396,58068,0,14,0,0.000000
15,0,0.000000,0,2,0.461011,8296,0,2,0,0.000000
16,0,0.000000,0,24,0.047496,99548,0,24,0,0.000000
17,0,0.000000,0,9,0.100749,37326,0,9,0,0.000000
18,0,0.000000,0,18,0.065089,74662,0,18,0,0.000000
19,0,0.000000,0,10,0.090627,41480,0,10,0,0.000000
20,0,0.000000,0,16,0.053713,66364,0,16,0,0.000000
21,0,0.000000,0,11,0.109332,45624,0,11,0,0.000000
22,0,0.000000,0,23,0.039435,95402,0,23,0,0.000000
23,0,0.000000,0,12,0.070261,49772,0,12,0,0.000000
24,0,0.000000,0,8,0.134766,33178,0,8,0,0.000000
25,0,0.000000,0,17,0.070797,70512,0,17,0,0.000000
26,0,0.000000,0,15,0.062468,62218,0,15,0,0.000000
27,0,0.000000,0,6,0.164093,24886,0,6,0,0.000000
28,0,0.000000,0,14,0.077002,58070,0,14,0,0.000000
29,0,0.000000,0,19,0.050989,78808,0,19,0,0.000000
30,0,0.000000,0,9,0.114536,37330,0,9,0,0.000000
31,0,0.000000,0,10,0.090634,41478,0,10,0,0.000000
32,0,0.000000,0,8,0.123094,33182,0,8,0,0.000000
33,0,0.000000,0,19,0.057545,78808,0,19,0,0.000000
34,0,0.000000,0,12,0.080699,49776,0,12,0,0.000000
35,0,0.000000,0,23,0.039419,95404,0,23,0,0.000000
36,0,0.000000,0,13,0.084118,53922,0,13,0,0.000000
37,0,0.000000,0,16,0.060560,66366,0,16,0,0.000000
38,0,0.000000,0,23,0.045495,95400,0,23,0,0.000000
39,0,0.000000,0,16,0.064469,66360,0,16,0,0.000000
40,0,0.000000,0,21,0.044622,87108,0,21,0,0.000000
41,0,0.000000,0,5,0.187457,20740,0,5,0,0.000000
42,0,0.000000,0,18,0.062514,74656,0,18,0,0.000000
43,0,0.000000,0,24,0.041662,99540,0,24,0,0.000000
44,0,0.000000,0,13,0.075721,53922,0,13,0,0.000000
45,0,0.000000,0,16,0.061527,66368,0,16,0,0.000000
46,0,0.000000,0,5,0.174958,20740,0,5,0,0.000000
47,0,0.000000,0,26,0.043875,107844,0,26,0,0.000000
48,0,0.000000,0,14,0.066972,58068,0,14,0,0.000000
49,0,0.000000,0,11,0.095125,45622,0,11,0,0.000000
50,0,0.000000,0,18,0.051218,74662,0,18,0,0.000000
51,0,0.000000,0,14,0.079257,58072,0,14,0,0.000000
52,0,0.000000,0,14,0.070297,58072,0,14,0,0.000000
53,0,0.000000,0,19,0.050978,78812,0,19,0,0.000000
54,0,0.000000,0,12,0.078137,49768,0,12,0,0.000000
55,0,0.000000,0,10,0.099996,41478,0,10,0,0.000000
56,0,0.000000,0,15,0.073924,62216,0,15,0,0.000000
57,0,0.000000,0,25,0.038748,103694,0,25,0,0.000000
58,0,0.000000,0,21,0.032742,87094,0,21,0,0.000000
59,0,0.000000,0,2,0.640655,8296,0,2,0,0.000000
60,0,0.000000,0,24,0.044264,99544,0,24,0,0.000000
61,0,0.000000,0,26,0.038466,107842,0,26,0,0.000000
62,0,0.000000,0,10,0.098430,41480,0,10,0,0.000000
63,0,0.000000,0,14,0.065830,58066,0,14,0,0.000000
64,0,0.000000,0,2,0.539127,8296,0,2,0,0.000000
65,0,0.000000,0,7,0.098195,29034,0,7,0,0.000000
66,0,0.000000,0,24,0.054688,99546,0,24,0,0.000000
67,0,0.000000,0,16,0.062497,66360,0,16,0,0.000000
68,0,0.000000,0,16,0.060547,66366,0,16,0,0.000000
69,0,0.000000,0,14,0.046864,58072,0,14,0,0.000000
70,0,0.000000,0,13,0.105760,53918,0,13,0,0.000000
71,0,0.000000,0,44,0.023073,182500,0,44,0,0.000000
72,0,0.000000,0,9,0.104155,37332,0,9,0,0.000000
73,0,0.000000,0,9,0.109382,37332,0,9,0,0.000000
74,0,0.000000,0,20,0.052354,82954,0,20,0,0.000000
75,0,0.000000,0,16,0.063446,66360,0,16,0,0.000000
76,0,0.000000,0,7,0.082630,29036,0,7,0,0.000000
77,0,0.000000,0,7,0.189744,29036,0,7,0,0.000000
78,0,0.000000,0,15,0.072904,62220,0,15,0,0.000000
79,0,0.000000,0,11,0.092327,45626,0,11,0,0.000000
80,0,0.000000,0,7,0.109344,29034,0,7,0,0.000000
81,0,0.000000,0,17,0.071710,70514,0,17,0,0.000000
82,0,0.000000,0,8,0.115223,33182,0,8,0,0.000000
83,0,0.000000,0,17,0.064315,70514,0,17,0,0.000000
84,0,0.000000,0,3,0.109440,12442,0,3,0,0.000000
85,0,0.000000,0,4,0.410157,16592,0,4,0,0.000000
86,0,0.000000,0,16,0.064443,66362,0,16,0,0.000000
87,0,0.000000,0,13,0.075748,53918,0,13,0,0.000000
88,0,0.000000,0,7,0.091460,29036,0,7,0,0.000000
89,0,0.000000,0,15,0.090642,62218,0,15,0,0.000000
90,0,0.000000,0,23,0.040748,95396,0,23,0,0.000000
91,0,0.000000,0,14,0.052435,58070,0,14,0,0.000000
92,0,0.000000,0,22,0.061083,91254,0,22,0,0.000000
93,0,0.000000,0,7,0.142844,29034,0,7,0,0.000000
94,0,0.000000,0,13,0.076949,53922,0,13,0,0.000000
95,0,0.000000,0,17,0.055127,70512,0,17,0,0.000000
96,0,0.000000,0,15,0.068766,62214,0,15,0,0.000000
97,0,0.000000,0,8,0.080056,33182,0,8,0,0.000000
98,0,0.000000,0,18,0.072911,74658,0,18,0,0.000000
99,0,0.000000,0,24,0.044914,99546,0,24,0,0.000000
100,0,0.000000,0,1,0.046746,4144,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.800,0.07
   0.890,0.14
   0.930,0.20
   1.100,0.27
   1.200,0.54
   1.300,0.61
   1.500,0.68
   1.700,0.74
   1.800,0.81
   7.000,0.88
   7.600,0.95
   8.100,1.08
   8.900,1.15
  11.000,1.22
  13.000,1.42
  14.000,1.76
  15.000,8.40
  16.000,30.47
  18.000,30.60
  20.000,30.67
  24.000,30.74
  29.000,30.81
  31.000,49.63
  32.000,51.73
  33.000,51.79
  43.000,51.86
  46.000,52.74
  47.000,64.86
  48.000,64.93
  49.000,65.00
  54.000,65.06
  61.000,65.20
  62.000,69.33
  63.000,73.73
  64.000,73.80
  77.000,73.87
  78.000,79.15
  79.000,79.35
  89.000,79.42
  91.000,79.49
  93.000,79.69
  94.000,83.01
 110.000,84.97
 120.000,85.92
 130.000,87.20
 140.000,88.63
 160.000,90.05
 170.000,91.20
 190.000,92.42
 200.000,93.30
 210.000,93.36
 220.000,94.45
 230.000,95.40
 250.000,95.94
 260.000,96.01
 270.000,96.41
 280.000,97.09
 300.000,97.49
 310.000,97.97
 330.000,98.10
 340.000,98.38
 360.000,98.44
 370.000,98.51
 390.000,98.71
 410.000,98.78
 420.000,98.92
 440.000,99.05
 450.000,99.12
 470.000,99.32
 500.000,99.39
 520.000,99.46
 530.000,99.53
 550.000,99.59
 560.000,99.66
 610.000,99.73
 720.000,99.80
 730.000,99.86
 910.000,99.93
1100.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent

Full-Test WAIT Latency
Latency (<= msec),Percent
