Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,16,0.054409,66366,0,16,0,0.000000
1,0,0.000000,0,22,0.050421,91254,0,22,0,0.000000
2,0,0.000000,0,10,0.090633,41480,0,10,0,0.000000
3,0,0.000000,0,11,0.097977,45628,0,11,0,0.000000
4,0,0.000000,0,21,0.047631,87104,0,21,0,0.000000
5,0,0.000000,0,12,0.075525,49776,0,12,0,0.000000
6,0,0.000000,0,20,0.056228,82952,0,20,0,0.000000
7,0,0.000000,0,15,0.061478,62218,0,15,0,0.000000
8,0,0.000000,0,8,0.111318,33182,0,8,0,0.000000
9,0,0.000000,0,11,0.102245,45628,0,11,0,0.000000
10,0,0.000000,0,10,0.103126,41478,0,10,0,0.000000
11,0,0.000000,0,22,0.046152,91256,0,22,0,0.000000
12,0,0.000000,0,9,0.111156,37330,0,9,0,0.000000
13,0,0.000000,0,16,0.062483,66366,0,16,0,0.000000
14,0,0.000000,0,18,0.052940,74660,0,18,0,0.000000
15,0,0.000000,0,19,0.051818,78808,0,19,0,0.000000
16,0,0.000000,0,20,0.053103,82952,0,20,0,0.000000
17,0,0.000000,0,19,0.050994,78808,0,19,0,0.000000
18,0,0.000000,0,15,0.069788,62216,0,15,0,0.000000
19,0,0.000000,0,15,0.061482,62220,0,15,0,0.000000
20,0,0.000000,0,20,0.050776,82956,0,20,0,0.000000
21,0,0.000000,0,14,0.075852,58066,0,14,0,0.000000
22,0,0.000000,0,19,0.051804,78812,0,19,0,0.000000
23,0,0.000000,0,16,0.063485,66362,0,16,0,0.000000
24,0,0.000000,0,18,0.055547,74656,0,18,0,0.000000
25,0,0.000000,0,18,0.045110,74662,0,18,0,0.000000
26,0,0.000000,0,17,0.066186,70512,0,17,0,0.000000
27,0,0.000000,0,12,0.088554,49776,0,12,0,0.000000
28,0,0.000000,0,24,0.041649,99544,0,24,0,0.000000
29,0,0.000000,0,12,0.059911,49774,0,12,0,0.000000
30,0,0.000000,0,12,0.104179,49774,0,12,0,0.000000
31,0,0.000000,0,21,0.048369,87106,0,21,0,0.000000
32,0,0.000000,0,21,0.041651,87108,0,21,0,0.000000
33,0,0.000000,0,15,0.071857,62216,0,15,0,0.000000
34,0,0.000000,0,15,0.070836,62220,0,15,0,0.000000
35,0,0.000000,0,19,0.045235,78808,0,19,0,0.000000
36,0,0.000000,0,26,0.042663,107840,0,26,0,0.000000
37,0,0.000000,0,16,0.059572,66368,0,16,0,0.000000
38,0,0.000000,0,21,0.049105,87100,0,21,0,0.000000
39,0,0.000000,0,22,0.047584,91244,0,22,0,0.000000
40,0,0.000000,0,11,0.090876,45628,0,11,0,0.000000
41,0,0.000000,0,15,0.061459,62218,0,15,0,0.000000
42,0,0.000000,0,9,0.102464,37332,0,9,0,0.000000
43,0,0.000000,0,11,0.103671,45624,0,11,0,0.000000
44,0,0.000000,0,17,0.054229,70516,0,17,0,0.000000
45,0,0.000000,0,6,0.176982,24884,0,6,0,0.000000
46,0,0.000000,0,8,0.068440,33182,0,8,0,0.000000
47,0,0.000000,0,14,0.104874,58066,0,14,0,0.000000
48,0,0.000000,0,12,0.084648,49776,0,12,0,0.000000
49,0,0.000000,0,13,0.075745,53924,0,13,0,0.000000
50,0,0.000000,0,3,0.338361,12444,0,3,0,0.000000
51,0,0.000000,0,14,0.070304,58072,0,14,0,0.000000
52,0,0.000000,0,18,0.052095,74664,0,18,0,0.000000
53,0,0.000000,0,1,0.140634,4148,0,1,0,0.000000
54,0,0.000000,0,15,0.129147,62212,0,15,0,0.000000
55,0,0.000000,0,16,0.052745,66362,0,16,0,0.000000
56,0,0.000000,0,18,0.063378,74664,0,18,0,0.000000
57,0,0.000000,0,15,0.067716,62212,0,15,0,0.000000
58,0,0.000000,0,12,0.066390,49768,0,12,0,0.000000
59,0,0.000000,0,22,0.053963,91246,0,22,0,0.000000
60,0,0.000000,0,18,0.049485,74658,0,18,0,0.000000
61,0,0.000000,0,15,0.072907,62218,0,15,0,0.000000
62,0,0.000000,0,8,0.126955,33184,0,8,0,0.000000
63,0,0.000000,0,13,0.067301,53918,0,13,0,0.000000
64,0,0.000000,0,12,0.084626,49776,0,12,0,0.000000
65,0,0.000000,0,24,0.045568,99546,0,24,0,0.000000
66,0,0.000000,0,3,0.140660,12442,0,3,0,0.000000
67,0,0.000000,0,13,0.122590,53918,0,13,0,0.000000
68,0,0.000000,0,3,0.317783,12442,0,3,0,0.000000
69,0,0.000000,0,12,0.071841,49774,0,12,0,0.000000
70,0,0.000000,0,18,0.060595,74664,0,18,0,0.000000
71,0,0.000000,0,15,0.072917,62214,0,15,0,0.000000
72,0,0.000000,0,17,0.052389,70512,0,17,0,0.000000
73,0,0.000000,0,10,0.087500,41478,0,10,0,0.000000
74,0,0.000000,0,9,0.116302,37330,0,9,0,0.000000
75,0,0.000000,0,22,0.054676,91252,0,22,0,0.000000
76,0,0.000000,0,14,0.071453,58066,0,14,0,0.000000
77,0,0.000000,0,14,0.058025,58072,0,14,0,0.000000
78,0,0.000000,0,11,0.095160,45620,0,11,0,0.000000
79,0,0.000000,0,17,0.057899,70516,0,17,0,0.000000
80,0,0.000000,0,9,0.123236,37332,0,9,0,0.000000
