Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,36,0.027669,145199,1,35,0,0.000000
1,0,0.000000,0,44,0.022802,182508,0,44,0,0.000000
2,0,0.000000,0,40,0.024598,165910,0,40,0,0.000000
3,0,0.000000,0,45,0.022456,186656,0,45,0,0.000000
4,0,0.000000,0,43,0.023197,178356,0,43,0,0.000000
5,0,0.000000,0,41,0.024471,170060,0,41,0,0.000000
6,0,0.000000,0,42,0.023470,174206,0,42,0,0.000000
7,0,0.000000,0,43,0.023429,178356,0,43,0,0.000000
8,0,0.000000,0,42,0.023860,174206,0,42,0,0.000000
9,0,0.000000,0,43,0.023071,178352,0,43,0,0.000000
10,0,0.000000,0,41,0.024350,170060,0,41,0,0.000000
11,0,0.000000,0,43,0.023179,178356,0,43,0,0.000000
12,0,0.000000,0,44,0.022798,182508,0,44,0,0.000000
13,0,0.000000,0,41,0.024558,170064,0,41,0,0.000000
14,0,0.000000,0,40,0.025222,165912,0,40,0,0.000000
15,0,0.000000,0,41,0.024145,165923,1,40,0,0.000000
16,0,0.000000,0,39,0.025525,157641,1,38,0,0.000000
17,0,0.000000,0,41,0.024334,165935,1,40,0,0.000000
18,0,0.000000,0,45,0.021888,186656,0,45,0,0.000000
19,0,0.000000,0,42,0.024251,174208,0,42,0,0.000000
20,0,0.000000,0,39,0.025376,161764,0,39,0,0.000000
21,0,0.000000,0,44,0.023013,182488,0,44,0,0.000000
22,0,0.000000,0,41,0.024236,170060,0,41,0,0.000000
23,0,0.000000,0,40,0.025070,165910,0,40,0,0.000000
24,0,0.000000,0,43,0.023181,178350,0,43,0,0.000000
25,0,0.000000,0,44,0.022991,182502,0,44,0,0.000000
26,0,0.000000,0,43,0.022780,178356,0,43,0,0.000000
27,0,0.000000,0,45,0.022613,186646,0,45,0,0.000000
28,0,0.000000,0,39,0.025474,161768,0,39,0,0.000000
